	review_id	asin	reviewer_id	category	num_sentence	sentence	tip	type	standalone	before/after	extend_position	sen_length
0	23	097293751X	A1HK2FQW6KXQB2	Baby	1	Perfect for new parents.	0.0					4
1	23	097293751X	A1HK2FQW6KXQB2	Baby	2	We were able to keep track of babys feeding, sleep and diaper change schedule for the first two and a half months of her life.	0.0					25
2	23	097293751X	A1HK2FQW6KXQB2	Baby	3	Made life easier when the doctor would ask questions about habits because we had it all right there!	0.0					18
3	254	B00000IZQI	AFM7DWQ762149	Baby	1	This is a wonderful toy that is fun, educational, and affordable!	0.0					11
4	254	B00000IZQI	AFM7DWQ762149	Baby	2	The cars are different colors, and each has a different number, 1 - 4, to help a child learn counting and colors.	0.0					19
5	254	B00000IZQI	AFM7DWQ762149	Baby	3	They also stack on top of each other and nest inside of each other.	0.0					14
6	254	B00000IZQI	AFM7DWQ762149	Baby	4	(The nesting feature is great for storage too).	0.0					8
7	254	B00000IZQI	AFM7DWQ762149	Baby	5	Each car has a neat fun feature for little ones to explore (e. g., the small car is also a rattle, the large fire trucks ladder moves, etc.)	0.0					26
8	254	B00000IZQI	AFM7DWQ762149	Baby	6	The cars are also very sturdy (as has been proven by my son repeatedly banging them together,) and they are easy for little hands to grab onto.	0.0					27
9	254	B00000IZQI	AFM7DWQ762149	Baby	7	At 6 months of age, my son really enjoys looking at the toys, passing them from one hand to the other, banging them together, and, of course, putting them in his mouth.	0.0					31
10	254	B00000IZQI	AFM7DWQ762149	Baby	8	I imagine this toy will remain one of my sons favorites as he learns to stack them and roll them on the floor.	0.0					23
11	254	B00000IZQI	AFM7DWQ762149	Baby	9	I would highly recommend this item.	0.0					6
12	260	B00000J3LL	A30H2335OM7RD6	Baby	1	I think this is an adorable book.	0.0					7
13	260	B00000J3LL	A30H2335OM7RD6	Baby	2	The pieces are all attached and each page has a cute activity.	0.0					12
14	260	B00000J3LL	A30H2335OM7RD6	Baby	3	Several things though--1.	0.0					3
15	260	B00000J3LL	A30H2335OM7RD6	Baby	4	If you sew you can make one that is more directed to your child.	1.0	Workaround	yes	after		14
16	260	B00000J3LL	A30H2335OM7RD6	Baby	5	And if you sew you will realize this is very over priced.2.	0.0					11
17	260	B00000J3LL	A30H2335OM7RD6	Baby	6	Some of the activities are too hard for the age group that would be playing with this book.	0.0					18
18	538	B00002JXFI	A510GFZQONEXJ	Baby	1	My son has had this teether since he was 3 months old.	0.0					11
19	538	B00002JXFI	A510GFZQONEXJ	Baby	2	I thought maybe hes just too young & not interested in it(even though he did have 2 teeth already) He is now 8 months old, and still isnt very interested in this teether.	0.0					31
20	538	B00002JXFI	A510GFZQONEXJ	Baby	3	The reason I bought it was because it was in-expensive and easy for him to hold & pick up.	0.0					17
21	538	B00002JXFI	A510GFZQONEXJ	Baby	4	He would rather pick up a toy car, or some sort of stuffed toy, which I understand every child is different.	0.0					21
22	538	B00002JXFI	A510GFZQONEXJ	Baby	5	My only big complaint - the star bead on the end.	0.0				before	10
23	538	B00002JXFI	A510GFZQONEXJ	Baby	6	It is hard, and pointy.	1.0	Warning	no	before		5
24	538	B00002JXFI	A510GFZQONEXJ	Baby	7	If it catches my sons sore, in-coming teeth the wrong way, he will cry.	0.0				after	13
25	538	B00002JXFI	A510GFZQONEXJ	Baby	8	Other then that, the colors are great, and definitely catch babys eye.	0.0					12
26	538	B00002JXFI	A510GFZQONEXJ	Baby	9	Overall, its an OK toy for the price.	0.0					8
