	review_id	asin	reviewer_id	category	num_sentence	sentence	tip	type	standalone	before/after	extend_position	sen_length
15	260	B00000J3LL	A30H2335OM7RD6	Baby	4	If you sew you can make one that is more directed to your child.	1.0	Workaround	yes	after		14
23	538	B00002JXFI	A510GFZQONEXJ	Baby	6	It is hard, and pointy.	1.0	Warning	no	before		5
37	598	B00003TL3H	AQRM319K706HZ	Baby	1	My daughter loves this but like others have said it doesnt fit on the Graco Quattro Travel System.	1.0	Warning	yes	before		18
60	602	B00003XAKR	A2F8EOU79DK8DG	Baby	5	The only reason I took off one star is because its a little stiff and he was resistant to having it on his bed at first.	1.0	Warning	yes	before		26
77	605	B000046S3W	A2O30DLTXMOZN5	Baby	2	Cons - harder for an adult to quickly put together and take apart, doesnt keep little extremely curious fingers out of the top hole area (though they cant reach the part that would shock them), and doesnt stop our son from unplugging the cord since there is space for the cord to be pulled upward so that the plug comes out of the socket.	1.0	Warning	yes	before		63
96	609	B0000488W2	A3JEFPEUXUS0I	Baby	6	In less than 1 hour I was able to unpack, read instructions, plan, get my tools, and have it done in 4 doors.	1.0	First time use	yes	after		21
97	609	B0000488W2	A3JEFPEUXUS0I	Baby	7	I think it wont work with hollow doors or maybe doors that are too thick but mine were pretty standard.	1.0	Warning	yes	before		20
196	807	B000056HM5	A2GKHJ7W6OIU8Q	Baby	7	Just have to clean the base/nipple/ring, but super easy and used to throw in the dishwasher.	1.0	Maintenance	yes	both		15
235	815	B000056HNO	AUYKXRJOPHWG2	Baby	3	I washed in cold water and dried on low since I had read the reviews saying they would shrink.	1.0	Maintenance	no	after		19
241	815	B000056HNO	AUYKXRJOPHWG2	Baby	9	I would definitely suggest covering your changing pag with SOMETHING so that all the yuck doesnt get down into all the little crevices of the pad.	1.0	Usage	no	after		26
245	816	B000056HNU	A3ULUTLVIQ5G14	Baby	3	I wouldnt even say getting this as a pump for when youre on the go is a good idea because the leaking milk will get all over leaving you with clean up.	1.0	Warning	yes	before		32
287	823	B000056J1X	A3OH4KCJME56WV	Baby	3	I dont see this lasting a long time.	1.0	Warning	yes	before		8
410	842	B000056JJ8	ATQBC3BLGN6HK	Baby	3	You should definitely measure the width and thickness of the area you want to protect though.	1.0	Usage	yes	before		16
427	844	B000056JLK	A2L18QWLTBBC6U	Baby	9	Buy more than one though, because they definitely get dirty quickly--I think I changed mine every day for the first 2-3 weeks that my son was home!	1.0	Complementary product	yes	both		27
464	849	B000056OUG	A3KNXWG1ZGUWW2	Baby	17	like another reviewer I HIGHLY RECOMEND TO UNPLUG IT WHEN NOT IN USE!	1.0	Usage	yes	after		13
476	852	B000056OV3	A7Q7Y1Y0BC0IW	Baby	3	The inside gets  horrible smell like something died in it.	1.0	Warning	no	before		10
480	852	B000056OV3	A7Q7Y1Y0BC0IW	Baby	7	And I did not notice it untill I tried to replace it so I already opened the origianl refill and some how broke the darn thing.	1.0	Warning	yes	before		26
554	867	B000058DNE	A2UYLD3M1LV4VY	Baby	4	Unfortunately, the beads are so tightly packed into the tail that they dont rattle at all; also, there is a yellow mesh fabric that covers the tail so you can barely even see the beads.	1.0	Warning	no	before		35
558	867	B000058DNE	A2UYLD3M1LV4VY	Baby	8	It does, but it only buzzes/vibrates for a split second, not nearly long enough for my baby to even realize whats going on!3)  The grasshopper is supposed to rattle, but when I shake it, I can barely hear the rattle sound coming from inside its body.	1.0	Warning	yes	before		45
592	874	B000059XOD	A2HHC8U8ZSBYCQ	Baby	7	It is recommended that when they are so young that they still need to face you, that you use a sling instead.	1.0	Usage	no	both		22
597	874	B000059XOD	A2HHC8U8ZSBYCQ	Baby	12	I would simply roll up a burpcloth or small blanket to prop my babys cheek and head up, and he could take a full nap in it on a walk.	1.0	Usage	yes	after		30
637	890	B00005BLM6	A1021X1F41GBCJ	Baby	9	When warming these bottles, if you find the fluid going up into the vent, just loosen the collar, the column of liquid goes back down and tighten again.	1.0	Usage	yes	both		28
671	898	B00005BPK5	A3R6NZ2QO78UX	Baby	3	I really want to use this sling, but I feel like hes either too deeply inside the sling and he will suffocate or by adding a blanket underneath him, hes too close to the edge and will tumble out.	1.0	Warning	yes	before		39
693	902	B00005BSM3	A3UISFQMOSZJMO	Baby	5	What I liked most about this product was that it grows with your child so they can use it as a stepstool as they get older.	1.0	Alternative use	yes	both		26
696	902	B00005BSM3	A3UISFQMOSZJMO	Baby	8	The maximum weight on this product is 200 pounds so I think its a good product for adults as well who maybe need a little extra help reaching that top shelf in the kitchen!	1.0	Alternative use	yes	both		33
700	903	B00005BSXI	AP9XBQMGSBUJK	Baby	4	Within the first month of use the hand-held audio only monitor broke.	1.0	Warning	yes	before		11
702	903	B00005BSXI	AP9XBQMGSBUJK	Baby	6	The camera is kind of a pain, though.	1.0	Warning	no	before		8
809	931	B00005C2NP	A3N5FK8Z1X8WCW	Baby	5	Unless the bottle is a regular generic bottle with a gallon of fluid inside, it wont keep the heating latch engaged.	1.0	Warning	no	before		21
852	936	B00005CAJK	A1MG8OZXQ5M0SU	Baby	5	Walnut IS dark Walnut, not a cherry color (fyi).	1.0	Warning	yes	before		9
857	938	B00005CBBF	A15J2ZDHAGIJD2	Baby	1	These wall hanging are well made and are so light weight you can put them up with a tack.	1.0	Usage	yes	after		19
862	945	B00005JIVI	A2H3M40UTEJVDF	Baby	4	I also got the Evenflo Infant to Toddler bath that has the built in (removable) inclined, cushioned insert that worked quite well instead.	1.0	Complementary product	yes	both		23
879	950	B00005LBZF	A2EH6T9EOMNWRG	Baby	6	The spoon fits well in my 15 months hand and mouth and she likes it.	1.0	Size	yes	before		14
880	950	B00005LBZF	A2EH6T9EOMNWRG	Baby	7	I have to hold the plate as she eats because the bowl moves with slight force.	1.0	Usage	yes	after		16
881	950	B00005LBZF	A2EH6T9EOMNWRG	Baby	8	She is also able to pick it up and throw it though the instructions say that picking the bowl up for a baby is difficult.	1.0	Usage	yes	after		25
887	950	B00005LBZF	A2EH6T9EOMNWRG	Baby	14	Please DO NOT put ANY plastic in a microwave especially food for your baby.	1.0	Warning	yes	after		14
907	976	B00005QBWZ	A1OAQLHCVKKNC5	Baby	2	It also restricts you in the kind of wipes you can buy... forget getting Chubbs in its round container, for instance.	1.0	Warning	yes	before		21
926	987	B00005RCS1	A2TF8JIFP9E9LO	Baby	9	(Also, make sure it isnt too thick or it will smush against the glass when you frame it.)	1.0	Warning	no	both		18
