	review_id	asin	reviewer_id	category	num_sentence	sentence	tip	type	standalone	before/after	extend_position	sen_length
1	45	1384719342	A2C00NNG1ZQQG2	Musical Instruments	2	Only thing is that the gooseneck is only marginally able to hold the screen in position and requires careful positioning of the clamp to avoid sagging.	1.0	First time use	yes	both		26
16	750	B00004Y2UT	A2A039TZMZHH9Y	Musical Instruments	5	I guess I should read instructions more carefully.	1.0	Other	no	after		8
25	751	B00004Y2UT	A2NYK9KWFMJV4Y	Musical Instruments	8	Bottom line: carefully compare both cables using your own instrument and amp - if possible - before making a purchase decision.	1.0	Warning	yes	before		19
42	960	B00005ML71	A2NIT6BKW11XJQ	Musical Instruments	1	If you are not use to using a large sustaining pedal while playing the piano, it may appear little awkward.	1.0	Warning	yes	before		20
51	1072	B000068NSX	A1GMWTGXW682GB	Musical Instruments	3	One thing to consider with the cable is to tighten the connectors once in awhile.	1.0	Warning	yes	before		15
167	1107	B000068NW5	A319B090A2POEB	Musical Instruments	2	These are no different.	1.0	Warning	no	before		4
244	1133	B000068NZC	AFLRU6952DEFX	Musical Instruments	3	But forget hooking this directly to a PC.	1.0	Warning	no	before		8
300	1143	B000068O1N	A2XXBZPQT5EXHV	Musical Instruments	3	I plugged them into the mixer and waited to hear some static, interference or buzz to explain the low price and all I got was a nice, clean signal.	1.0	Usage	yes	both		29
301	1143	B000068O1N	A2XXBZPQT5EXHV	Musical Instruments	4	Highly recommend these to anyone with a mixer that needs an insert cable.	1.0	Population segment	yes	before		13
307	1145	B000068O1N	A3JUQ2E799OC5B	Musical Instruments	3	On a side note, I always clean all my cables with CAIG DeoxIT Gold G5 Spray Contact Conditioner 5 oz.	1.0	Maintenance	no	after		18
309	1145	B000068O1N	A3JUQ2E799OC5B	Musical Instruments	5	I also spray a q-tip and and clean all the jacks on my guitars and instruments.	1.0	Maintenance	yes	after		15
343	1155	B000068O3X	A23BIOQUMRC7K5	Musical Instruments	3	I would recommend this cable to connect stomp boxes.	1.0	Usage	yes	both		9
448	1219	B00006LVEU	A3HCK3UXD6WS4G	Musical Instruments	3	It doesnt evaporate right away, but after a couple of minutes your good to go!	1.0	Warning	yes	after		15
463	1403	B00009W40G	A10KH8EN77ZKWH	Musical Instruments	6	I stored the mic cables in an open cardboard box for a few months before using them, and that seemed to help a lot with the rubber smell.	1.0	Maintenance	yes	after		28
467	1404	B00009W40G	A1FI4UL6C50NZJ	Musical Instruments	1	If theyre used for live performances they will not last very long!	1.0	Usage	yes	before		12
