	review_id	asin	reviewer_id	category	num_sentence	sentence	tip	type	standalone	before/after	extend_position	sen_length
4320	6642	B000VS4LBK	A2J1Q33PDYVSU8	Baby	4	As others have mentioned, there are more parts to clean & put together than usual (which I was fine with if they were good bottles that also helped with gas issues).	1.0	Maintenance	yes	after		30
15518	13086	B008W8UUEI	A12PGB9AJDV37N	Baby	7	Then, when you switch to pumping mode, it will be way to strong.	1.0	Warning	no	before		13
7469	9058	B0029F1O2M	A2VE6SK7QL5YF1	Baby	3	I mean the pump is very loose.. probably can only extract those milk supply that is overflowing and does not require much force to be extracted.	1.0	Warning	yes	before		26
6851	8551	B001PIJEJE	A12G17V6NC34XB	Baby	4	On the bad side, the changer table was not sturdy and we could not use it (it would tilt to one side when baby was placed on it).	1.0	Warning	yes	before		28
9844	10078	B0038JE628	A3R3KEX2WAKSY	Baby	3	It is a fantastic product and a must have for parents with lots of bottle nipples to wash in the dishwasher.	1.0	Usage	yes	both		21
7960	9303	B002IID2CU	A2X0DYL8AEUIR4	Baby	7	I love that I can hang any toys I want from three different loops on each side, and also I can attach toys to the flowers and hte little loop by the tray.	1.0	Alternative use	yes	after		33
15836	13279	B009ZU44AI	A11M4STRC1VZLN	Baby	5	This cup is not spill proof.	1.0	Warning	yes	before		6
14243	12363	B006OJIKD0	AP3QRJBFBSAO	Baby	5	Measure carefully and order extra pieces if needed right away so you dont have to wait to install it.	1.0	Warning	yes	before		19
907	976	B00005QBWZ	A1OAQLHCVKKNC5	Baby	2	It also restricts you in the kind of wipes you can buy... forget getting Chubbs in its round container, for instance.	1.0	Warning	yes	before		21
1753	1663	B0000E2DIE	A3J8EU3GOCEOD8	Baby	3	For a few of the holes he needed to use his power drill which worked great.	1.0	Workaround	yes	both		16
14257	12370	B006P05S0Q	A1Y0Z6LHALL4X2	Baby	2	I read the item specifications, but somehow when it arrived it was bigger and bulkier than I imagined it to be.	1.0	Size	yes	before		21
15234	12900	B008818OQ0	A1280TL6993SFL	Baby	2	The fingers are very short and the circle is very big.	1.0	Other	yes	before		11
