	review_id	asin	reviewer_id	category	num_sentence	sentence	tip	type	standalone	before/after	extend_position	sen_length
28	184	B00000ELZ5	A1II9F7V7C5EE0	Sports & Outdoors	13	They are NOT made to be dropped!!!	1.0	Warning	yes	both		7
72	595	B00003CYPK	A22Z554ZQ8NFPC	Sports & Outdoors	7	The raquets are plastic and it would be pretty easy to break them if you dont take care of them.	1.0	Warning	yes	before		20
101	662	B00004SQM9	A3FPTGF6TRQGA6	Sports & Outdoors	5	Not only are these locks more convenient, they fit my Yugo M57 Tokarev!	1.0	Usage	yes	after		12
102	662	B00004SQM9	A3FPTGF6TRQGA6	Sports & Outdoors	6	I have several different pistols/revolvers and so far these locks fit every one.	1.0	Usage	yes	after		12
134	695	B00004TQ2P	ASGL4FBI6GZW0	Sports & Outdoors	3	The first is that ball came 3/4 inflated.	1.0	First time use	no	after		7
211	775	B00004YVB0	A3QSZ2SE3HUSXM	Sports & Outdoors	3	I cut my thumb on the blade!	1.0	Warning	yes	after		7
237	776	B00004YVB1	ACNYR79WI3K1K	Sports & Outdoors	17	The case itself is the sturdiest of the four nylon cases I have owned in the past and the closure suffices for day to day uses, but if you do work where the tool could fall out if the button were not snapped, I would either look at getting a different case or know you will have to modify the existing one.	1.0	Usage	yes	after		62
248	779	B00004YVBB	AHNCSRONCAQ5F	Sports & Outdoors	4	It is also not a bad choice to pair with a SAK or multi-tool that doesnt come with scissors.	1.0	Usage	yes	after		18
266	797	B0000533G7	A27E44IWS3B7VD	Sports & Outdoors	11	Some days, the peppermint oil eaves my skin tingling, which lasts for a half hour and more after washing.	1.0	Usage	no	before		19
268	797	B0000533G7	A27E44IWS3B7VD	Sports & Outdoors	13	Ive also used this castile soap as a shampoo, to wash my 4a/b hair.	1.0	Alternative use	no	after		13
321	942	B00005JD3Z	A2AXWQVA5V9GPJ	Sports & Outdoors	2	First, the on/off switch can easily be bumped into the ON position while the pump is being transported, which will run down the battery (to fix that I flip around one of the batteries when Im not using it).	1.0	Workaround	yes	after		38
345	969	B00005OKZ7	AA5ENW633HM3I	Sports & Outdoors	5	It is made very big just to be more universal and fit more saddles, but its not the best idea.	1.0	Usage	no	both		20
370	986	B00005RCQS	AUBKXJYRKGOF4	Sports & Outdoors	4	However, I originally bought this mat for Insanity, and I found two drawbacks with it for that program: (1) The thickness of the mat makes it a bit unstable for quick lateral movements and floor holds, which are HUGE parts of the Insanity workouts.	1.0	Warning	yes	before		43
371	986	B00005RCQS	AUBKXJYRKGOF4	Sports & Outdoors	5	(2) The smooth material gets very slick with sweat, which makes it a bit treacherous (at one point I slipped over sideways doing a 1-2-3 Heisman... but at least the thickness of the mat padded my fall!).	1.0	Warning	yes	before		35
420	1190	B00006I551	A2M2YZFLZ3PB45	Sports & Outdoors	1	Hard to beat the price but I didnt expect that Casio still made this bad back lighting for night viewing.	1.0	Warning	yes	before		20
540	1324	B00008XXX1	A1YUL9PCJR3JTY	Sports & Outdoors	9	They do dent if dropped on a hard surface at a particular angle, but Sigg fans (including me) view this as a type of seasoning, so that your bottle acquires character.	1.0	Usage	yes	both		31
555	1324	B00008XXX1	A1YUL9PCJR3JTY	Sports & Outdoors	24	Note that Sigg water bottles should not be used to contain boiling water, as this will damage the outer coating.	1.0	Usage	yes	both		20
556	1324	B00008XXX1	A1YUL9PCJR3JTY	Sports & Outdoors	25	They also cannot be left in the freezer, as it may crack.	1.0	Usage	yes	both		13
557	1324	B00008XXX1	A1YUL9PCJR3JTY	Sports & Outdoors	26	They can be used for carbonated beverages, if you leave about a half inch of room at the top.	1.0	Alternative use	yes	both		19
564	1333	B00009363P	AHDKNAB0NG1QI	Sports & Outdoors	6	The negative thing I found was that the on/off button knob fell off when I first turned them on.	1.0	Warning	yes	before		18
580	1337	B000093ILC	A12T7VTQ1Q41WU	Sports & Outdoors	15	Sighting with the mirror is a big jokeWilderness Elite Search & Rescue.	1.0	Warning	yes	before		11
603	1375	B00009KWUH	A2TSHS6MQ6SS0J	Sports & Outdoors	6	I love thesebut they hit the ground a lot and will wear out.	1.0	Usage	yes	both		13
625	1416	B0000A0AGC	A1CRH5SAVS1Q5E	Sports & Outdoors	5	Only bummer is you HAVE TO TURN IT OFF, or you will slowly kill the battery.	1.0	Usage	yes	both		16
690	1432	B0000AJ04O	A24IJY3V0804WJ	Sports & Outdoors	3	if you are going to do pull ups this is not going to add a lot of weight but just do the job of keeping you toned.	1.0	Usage	yes	both		27
691	1432	B0000AJ04O	A24IJY3V0804WJ	Sports & Outdoors	4	this is a perfect band for someone who wants reasonable muscle tone and travels regularly.	1.0	Usage	yes	both		15
692	1432	B0000AJ04O	A24IJY3V0804WJ	Sports & Outdoors	5	This band is perfect for those of you who do some recreational resistance or weight training and also travel regularly.	1.0	Usage	yes	both		20
693	1432	B0000AJ04O	A24IJY3V0804WJ	Sports & Outdoors	6	Make sure that all instructions for use are followed.	1.0	Warning	no	after		9
695	1434	B0000AMR5W	A1LBN7NBE3ONGG	Sports & Outdoors	1	If you install these end caps onto your bike rack crossbars, they will never come out without a fight.	1.0	Warning	yes	after		19
713	1442	B0000AQO0Z	A1D3PI43C4T7CI	Sports & Outdoors	3	I have a the Camp Chef SG90 2-burner steel griddle and this bag fits it perfectly with enough extra space that itll fit thicker griddles too.	1.0	Size	yes	both		24
738	1480	B0000AS7W2	AJ8CBMFSPRKQU	Sports & Outdoors	3	I read online when you first assemble the unit, put Car grease inside the tubes that the AXLE rod goes through, trust me, do this now as you assemble and you wont have squeak problems, the Axle rod comes with a thin coating of oil and will quickly wear off, car grease is heavy duty and will do the job!Ok the machine, its like walking on air!	1.0	Usage	yes	after		68
745	1480	B0000AS7W2	AJ8CBMFSPRKQU	Sports & Outdoors	10	Start off with two 5 lbs weights and slide them through the hand grip poles and let them rest on the machine bar (same bar that has the digital counter).	1.0	Workaround	no	after		29
747	1480	B0000AS7W2	AJ8CBMFSPRKQU	Sports & Outdoors	13	Another option is to take those Adjustable Wrist bands (2 and 5 lbs... leg bands as high as 10 lbs) and wrap those around the bottom legs of the machine in the front.	1.0	Workaround	no	after		30
751	1480	B0000AS7W2	AJ8CBMFSPRKQU	Sports & Outdoors	17	Add 5 or 10 lb dumb-bells to the legs.	1.0	Workaround	no	after		6
777	1486	B0000AT2HN	A3SUZA0C8QV8AW	Sports & Outdoors	2	Bicycle Source US refused to cancel my order when I realized how ridiculous their price was and insists on charging a huge fee for a return.	1.0	Warning	no	before		26
805	1492	B0000ATOFK	A95O40OHFMGB7	Sports & Outdoors	8	There is a little bit of flex to it, more so with 2 people in it, but thats not to say its stretchy or bouncy, just make sure that you mount it high enough to keep you butts off the ground.	1.0	Usage	yes	after		40
833	1495	B0000ATXQI	A39357QLRB3A9R	Sports & Outdoors	3	The ad says you can use it on a pole, where this is true it does not specify that the pole must be 2 inches or smaller in diameter.	1.0	Warning	yes	before		28
846	1497	B0000ATYTG	ANQ5401ZLE2F5	Sports & Outdoors	3	I cut them off and attached carabiners in their place.	1.0	Workaround	yes	both		10
891	1509	B0000AV1PT	A3NP8AX6Y4DHN8	Sports & Outdoors	4	I recommend using fluorocarbon as a tippet/leader material, and not as your main line.	1.0	Usage	yes	after		13
892	1509	B0000AV1PT	A3NP8AX6Y4DHN8	Sports & Outdoors	5	Using braid for your main line will give you a much better fishing experience.	1.0	Usage	yes	after		14
894	1509	B0000AV1PT	A3NP8AX6Y4DHN8	Sports & Outdoors	7	Choose your knots carefully, and try the manufactures knot choice, they made it, they probably know the best knot to use with the line.	1.0	Usage	yes	after		24
899	1511	B0000AVB9Z	A3A1OA237FOZFK	Sports & Outdoors	2	The straps have pulled apart at both ends and are hanging on by just a few threads.	1.0	Warning	no	before		17
962	1530	B0000AY3SR	A17BUXSHOUOP4M	Sports & Outdoors	1	This product claims to restore plastic but after 10 minutes of scrubbing one headlight cover with it and a terry cloth (as recommended), there was hardly any noticeable difference.	1.0	Warning	yes	before		28
968	1532	B0000AY4YX	AXD0F0H80ZKHD	Sports & Outdoors	1	This product is defiantly to strong for removing hard water spots on dark colors, cause it will scratch the paint or gel coat very fast.	1.0	Warning	yes	before		25
994	1541	B0000B13MT	A3R7M30FVV6WSF	Sports & Outdoors	2	This could create some problems when attempting to dispose of the waste within.	1.0	Warning	yes	before		13
1001	1542	B0000B13N5	AY5V4RH490758	Sports & Outdoors	4	you dont need any rod longer than 11 or 12 ft.	1.0	Usage	yes	both		9
1029	1556	B0000BYRT0	A1VEELTKS8NLZB	Sports & Outdoors	2	These are great on concrete, clay, composite.	1.0	Usage	yes	both		7
1035	1560	B0000BYSM0	A1EUZUQ32ESF7H	Sports & Outdoors	1	If youre buying the cheap chalk ball linked here, know that the ball comes with chalk already that will last you quite a while.	1.0	Usage	yes	after		24
1077	1576	B0000C4LOU	A1EDBI6TBKP9CO	Sports & Outdoors	2	This is a cheap knockoff, not the quality of the other jump ropes that Ive used.	1.0	Warning	yes	before		16
1086	1578	B0000C50BR	A3S0KJS635H212	Sports & Outdoors	6	My solution was to get plastic tupperware tray a few inches deep and fill it with quickcrete.	1.0	Workaround	yes	after		17
1188	1592	B0000C518J	A16LRSJUHO9SAQ	Sports & Outdoors	4	Its great for those hard to reach places when you dont mind a puddle of Hoppes.	1.0	Usage	no	after		16
1209	1596	B0000C51QG	AKTMW6ZJY3CVN	Sports & Outdoors	4	They hold up to all the guns quite well.	1.0	Usage	yes	both		9
1220	1600	B0000C53CZ	A3L7NMPF4PGZWE	Sports & Outdoors	3	hides well under a winter coat.	1.0	Usage	yes	both		6
1222	1600	B0000C53CZ	A3L7NMPF4PGZWE	Sports & Outdoors	5	took some time to adjust.	1.0	First time use	yes	both		5
1248	1653	B0000DH4LT	A2KJGMFKGRZU1R	Sports & Outdoors	3	it is not.	1.0	Warning	yes	before		3
1254	1662	B0000E1R4Z	A2MBYDJV2VGHMO	Sports & Outdoors	2	The filling was not very easy, I couldnt get a good seal and kept leaking out, I will keep trying to see if I can figure it out.	1.0	Warning	yes	before		28
1255	1662	B0000E1R4Z	A2MBYDJV2VGHMO	Sports & Outdoors	3	The breather really do not work well on its own, it is very hard to draw.	1.0	Warning	yes	before		16
1256	1662	B0000E1R4Z	A2MBYDJV2VGHMO	Sports & Outdoors	4	I find that I need to depress the top if I want to get air, in such case it is ok.	1.0	Workaround	yes	both		21
1263	1679	B0000V2EBM	A2SGSXZ30OBCQV	Sports & Outdoors	2	This scope is pretty much a perfect match for a Marlin 336 (mine is a 30-30); its light weight, fairly low-profile, and does not detract from the quick-handling characteristics of a lever gun.	1.0	Usage	yes	both		29
1265	1679	B0000V2EBM	A2SGSXZ30OBCQV	Sports & Outdoors	4	It is, however, necessary to add a hammer spur.	1.0	Complementary product	yes	before		9
1296	1702	B00013Q35W	A170G478MZYNIA	Sports & Outdoors	2	I you hunt or fish or birdwatch this is a great main scope to use with a small 8x power bino for finding the critters and then the scope for close in detail.	1.0	Alternative use	yes	both		32
1301	1731	B0001FAANQ	A2Z67HW6W6G5KZ	Sports & Outdoors	1	These targets work well when running practice drills for USPSA or IDPA shooting.	1.0	Usage	yes	both		13
1314	1757	B0001MQ7EK	A2ICKE6A3MJMM5	Sports & Outdoors	2	It also heated up quickly when unplugged and carried to the picnic table, 30 minutes later and the thermometer inside reported itd gone up by 20 degrees -- this on a day that was only 70F outside!	1.0	Warning	yes	before		33
