	review_id	asin	reviewer_id	category	num_sentence	sentence	tip	type	standalone	before/after	extend_position	sen_length
0	1	439893577	A1VXOAVRGKGEAK	Toys & Games	1	I like the item pricing.	0.0					5
1	1	439893577	A1VXOAVRGKGEAK	Toys & Games	2	My granddaughter wanted to mark on it but I wanted it just for the letters.	0.0					15
2	2	048645195X	AQN75W8HMUFSP	Toys & Games	1	This is my absolute favorite design book.	0.0					7
3	2	048645195X	AQN75W8HMUFSP	Toys & Games	2	The patterns are so intricate and fun to color.	0.0					9
4	2	048645195X	AQN75W8HMUFSP	Toys & Games	3	I can only imagine the possibilities!	0.0					6
5	3	545496470	A1UQ9JZLKLAO7X	Toys & Games	1	This book looks really fun and cool.	0.0					7
6	3	545496470	A1UQ9JZLKLAO7X	Toys & Games	2	Havent opened or used it yet because I got it for my 6 year old daughter for xmas but i know she will enjoy doing the projects with me.	0.0					28
7	3	545496470	A1UQ9JZLKLAO7X	Toys & Games	3	she is very creative and loves crazy weird stuff so this seems right up her alley.	0.0					16
8	4	615444172	A17TMITCPJET4	Toys & Games	1	This is a good sized book.	0.0					6
9	4	615444172	A17TMITCPJET4	Toys & Games	2	Great quality.	0.0					2
10	4	615444172	A17TMITCPJET4	Toys & Games	3	I bought it for my two year old so she would stop putting stickers in rab random places.	0.0					18
11	4	615444172	A17TMITCPJET4	Toys & Games	4	I think it would be perfect for an older kid who is really into stickers.	0.0					15
12	5	670010936	A206FI2P68MPS0	Toys & Games	1	My son loves when we read any/all of the Llama Llama books, so when I saw this, I knew hed be thrilled.	0.0					21
13	5	670010936	A206FI2P68MPS0	Toys & Games	2	And thrilled he was!	0.0					4
14	5	670010936	A206FI2P68MPS0	Toys & Games	3	Its adorable!	0.0					2
15	6	735308365	A2D3BT3VQLI1DA	Toys & Games	1	I LOVE the illustrations on these flashcards.	0.0					7
16	6	735308365	A2D3BT3VQLI1DA	Toys & Games	2	That is what prompted me to buy them for my daughters second birthday.	0.0					13
17	6	735308365	A2D3BT3VQLI1DA	Toys & Games	3	The cards are very sturdy and have a nice weight and finish to them.	0.0					14
18	6	735308365	A2D3BT3VQLI1DA	Toys & Games	4	My one issue is trying to keep them together.	0.0					9
19	6	735308365	A2D3BT3VQLI1DA	Toys & Games	5	The ring that holds the card together is kind of flimsy.	1.0	Warning	yes	before	before	11
20	6	735308365	A2D3BT3VQLI1DA	Toys & Games	6	There is value in having the cards be detachable but I almost wish the ring was more permanent.	1.0	Warning	no	before	after	18
21	6	735308365	A2D3BT3VQLI1DA	Toys & Games	7	It can be frustrating when you are missing cards.	0.0				after	9
22	6	735308365	A2D3BT3VQLI1DA	Toys & Games	8	Overall, these are the most attractive, charming ABC flashcards I have ever found.	0.0					13
23	6	735308365	A2D3BT3VQLI1DA	Toys & Games	9	I think I may have been a little too eager though because my daughter is only 2 and she doesnt seem that interested yet.	0.0					23
