	review_id	asin	reviewer_id	category	num_sentence	sentence	tip	type	standalone	before/after	extend_position	sen_length
19	6	735308365	A2D3BT3VQLI1DA	Toys & Games	5	The ring that holds the card together is kind of flimsy.	1.0	Warning	yes	before	before	11
20	6	735308365	A2D3BT3VQLI1DA	Toys & Games	6	There is value in having the cards be detachable but I almost wish the ring was more permanent.	1.0	Warning	no	before	after	18
80	20	913866687	A3KWAN5J031OOU	Toys & Games	1	Definitely not a game for young children.	1.0	Population segment	yes	before		7
112	24	974665207	A1BPEOEXWUJ7KM	Toys & Games	4	The book does get some residue on it after each use, but that would come clean with some water or windex.	1.0	Maintenance	yes	after		21
340	68	1589781066	A6VY3JUKZYZNX	Toys & Games	2	Bad: The mechanics of the expeditions are not easy for some players to understand.	1.0	Warning	no	before		14
396	71	158994030X	A3FKAZNKWZ3Y5D	Toys & Games	17	Also, you must get sleeves for the character cards.	1.0	Maintenance	yes	after		9
440	73	1589942108	A5FSPUNT7OI0H	Toys & Games	3	Word of warning, though, if youre new to more complex board games, this ones a doozy, but dont let that scare you away from the game.	1.0	Warning	yes	before		26
630	87	1589947061	A3M7Q456YHHMH2	Toys & Games	16	Pros:Co-opNot super difficult to learnNice themeCons:Very luck-heavyNot very many significant decisions to make	1.0	Warning	yes	before		13
639	89	1589949811	A39Y8PD8Y9BA5H	Toys & Games	7	The game is quite text heavy with fiddly texts, and those that arent really into board games might not get a kick out of it.	1.0	Usage	yes	before		25
690	93	1594721270	A14TUWXDA5WQ7W	Toys & Games	42	UPDATE (August 22, 2010): Apparently, the publisher wised-up and included a set of raised tab divider cards in the Thunderstone: Wrath of the Elements Expansion so that solves the storage tray nightmare... if you like the game enough to spring for the expansion.	1.0	Complementary product	yes	after		40
801	115	1616615044	A2Y96MUF4VWAOW	Toys & Games	3	I recommend this game to anyone who loves mystery.	1.0	Population segment	yes	before		9
817	118	1616615370	A2O1SP6ZPJKCAS	Toys & Games	9	Do not try to bend or anything like that because they will break and you will have to do some gluing.	1.0	Usage	yes	both		21
1014	159	8499002323	APZMW24EELJ3M	Toys & Games	4	Considering its size and the material it is made with, I have to closely monitor my child while he is using it.	1.0	Warning	yes	after		22
1015	159	8499002323	APZMW24EELJ3M	Toys & Games	5	If you are purchasing this for a young child, you may want to consider a different item.	1.0	Warning	yes	before		17
1027	163	9269806723	A2FZQF0MH29VYN	Toys & Games	6	I did have to buy an adapter to charge the Traxxas connectors.	1.0	Complementary product	no	both		12
1049	166	9269808955	A39IDAUEE4VEFZ	Toys & Games	8	I would definitely advise you to buy a few spares.	1.0	Warning	yes	both		10
1155	186	B00000IRMM	A1MFIVHYJS11WY	Toys & Games	5	So whats wrong with it?The numbers are not very dark so it is difficult to read it in both dim conditions and in bright light.	1.0	Warning	yes	before		26
1159	186	B00000IRMM	A1MFIVHYJS11WY	Toys & Games	9	The problem is that the lines have fairly large spaces between them which make the numbers oddly formed.	1.0	Warning	yes	before		18
1161	186	B00000IRMM	A1MFIVHYJS11WY	Toys & Games	11	The buttons barely work.	1.0	Warning	yes	before		4
1176	188	B00000IRTS	A3L2AQGJLCSLFB	Toys & Games	6	One of the front yellow pieces would NOT fit in the red car part.	1.0	Workaround	yes	after		14
1194	192	B00000IRYI	A2WS6FMF750EI9	Toys & Games	2	Definitely for ages four and up for independent use.	1.0	Population segment	yes	before		9
1226	198	B00000IS0P	A9WCOZTW6FNY	Toys & Games	2	But I am quite disappointed in the quality of sound.	1.0	Warning	yes	before		10
1264	209	B00000ISUK	A3KY68OTSNHM3G	Toys & Games	2	Once out of the box, we were frustrated with the number of small parts, such as the tiny plastic balls which are used in the loader.	1.0	Warning	no	after		26
1326	222	B00000IUFA	A3B86I1032MTQ3	Toys & Games	5	Yes the little cards are not the strongest cardboard they could have used and that is my only complain.	1.0	Workaround	yes	after		19
1369	227	B00000IUT7	A30H2335OM7RD6	Toys & Games	11	The one negative- it eats batteries like crazy.	1.0	Warning	yes	before		7
1412	233	B00000IV3U	A3LOVYOYGXZEZV	Toys & Games	5	After the looming is done, when you get to the finishing part where you are working with braiding the end, (if a kid is the one creating the pot holder) the child will probably need an adults help because the loops easily come off the end of the loom and that can be frustrating for young kids.	1.0	Warning	yes	after		57
1414	233	B00000IV3U	A3LOVYOYGXZEZV	Toys & Games	7	The kids will need help pushing the loops down regularly also because since they are a little thicker than the cheap ones they dont slide as easily and can create a little bit of a hump as you are looming.	1.0	Warning	yes	after		40
1433	236	B00000IV8B	A2QDFKU0CZ9ZX9	Toys & Games	4	Theyre made of cardboard, so make sure they dont get too wet.	1.0	Warning	yes	both		12
1481	245	B00000IWD3	A29L4QWSIXKRE3	Toys & Games	1	This is a neat game and the concept is great however, it can end up being very, very, very long!	1.0	Warning	yes	before		20
1486	245	B00000IWD3	A29L4QWSIXKRE3	Toys & Games	6	Still a great game that teaches numbers, counting, and ever a little bit of colors... if you have the patience.	1.0	Alternative use	yes	both		20
1541	256	B00000IZQX	ADX9NTN40T1HN	Toys & Games	6	So please dont get too comfortable with the name of the toy, a toddler can still fall over and hurt himself/herself.	1.0	Warning	yes	both		20
1579	264	B00000J50C	AC4FUX25LEHIP	Toys & Games	5	We use them to learn animals, numbers, letters and symbols.	1.0	Usage	yes	both		10
1673	282	B0000206G9	A2LOD3K7460UB	Toys & Games	2	He absolutely loves the ball pit; however, you will want more than 50 balls.	1.0	Complementary product	yes	both		13
1706	656	B00004SDAP	A1GHUN5HXMHZ89	Toys & Games	12	If I have any complaints, it is the newest versions are cheaply made in comparison to the original version.	1.0	Warning	yes	before		19
1771	709	B00004U3D9	A22SPN6089TKYW	Toys & Games	2	The biggest problem is that the oven door and dishwasher door are hinged at the bottom, not the side.	1.0	Warning	yes	before		19
1903	891	B00005BLMC	A1RXASB0XM536I	Toys & Games	11	In summary- good basic set, just be careful getting accessories to make sure they truly are compatible or work the way they are supposed to.	1.0	Usage	yes	after		24
1979	967	B00005NQE8	A129PLFBKS3D49	Toys & Games	2	My son is now 3 and 9 months and we played it the other day and both enjoyed it.	1.0	Population segment	yes	both		17
1994	1010	B00005YVRN	A5FE4AUUKECQW	Toys & Games	4	Youll have to wait until mattress is moved down, or remove the bumpers.	1.0	Usage	yes	before		13
2025	1023	B000063JQJ	A2LXP91DF4WU0N	Toys & Games	3	When my grandbabies come over 3 yrs old 18 months old and 14 months old, they all play with it.	1.0	Population segment	yes	before		17
2048	1041	B0000669DR	A1CEP9YICTV9M6	Toys & Games	3	Great for my preschoolers all the way up to my 5th graders.	1.0	Population segment	yes	before		11
2049	1041	B0000669DR	A1CEP9YICTV9M6	Toys & Games	4	It is great for fine motor coordination too.	1.0	Usage	yes	before		8
2051	1043	B000066HSN	A1VUHTQ6GC4LH	Toys & Games	2	Unfortunately they arent durable.	1.0	Warning	yes	before		4
2090	1054	B000067PWG	A144U5041CFKQR	Toys & Games	2	We could not however get past the ring holder.	1.0	Usage	yes	after		9
2139	1256	B00007A1S2	A10566TEP2SO6I	Toys & Games	7	I would suggest if you are buying this for your child that the age limit would be 3 and under if you are planning on using it with the sandbox under neath and the slide is not as big as my sons swing set that he got for his 2nd birthday.	1.0	Population segment	yes	before		49
2209	1289	B000087L1L	A1RHP5HOL4COQ4	Toys & Games	2	The toy itself is more of a pinkish/purplish than the red/blue in the pic.	1.0	Other	yes	both		12
2211	1289	B000087L1L	A1RHP5HOL4COQ4	Toys & Games	4	He is 9 months and cannot spin the large circle, an adult has to insert their fingers to work it.	1.0	Warning	yes	both		20
2218	1290	B000087LI0	A3QXIV51GXNEG5	Toys & Games	3	Does have a few rough plastic edges that might scratch you.	1.0	Warning	yes	before		11
2277	1334	B0000936KZ	A16UK2V1WOW1RK	Toys & Games	4	One flaw is that the doors fall off all the time.	1.0	Warning	yes	before		11
2286	1356	B000096QN1	A2ZOVHKYDH4UOJ	Toys & Games	3	I would recommned it more for a party of 6 or more than for a 4 person family game, although it could be played that way.	1.0	Usage	yes	both		24
2319	1363	B000099ZDL	A2VZ78ROXQ1CCR	Toys & Games	5	You have to stop and push down hard on the sponge tip to get the paint flowing again before you can continue.	1.0	Workaround	yes	both		22
2321	1363	B000099ZDL	A2VZ78ROXQ1CCR	Toys & Games	7	The blue paint didnt come off of my daughters hands (or my hands!)	1.0	Warning	no	before		13
2327	1364	B00009AA6G	AF89IW5TVF8I8	Toys & Games	3	It came right off and was in his mouth.	1.0	Warning	no	before		9
2335	1367	B00009END7	AJGU56YG8G1DQ	Toys & Games	3	The adhesive putty that comes with the kit is great, holds well and doesnt leave a residue.	1.0	Usage	yes	both		17
2345	1369	B00009IM50	AHRDV8PEA4M0J	Toys & Games	1	Like the set but because it is breakable I have to put towels to keep the set from moving around and possibly getting broke.	1.0	Workaround	yes	before		24
2356	1370	B00009IM5V	A1BOJ3936IE1E0	Toys & Games	10	Anyway, if your child is over and four and you dont have the version for younger kids, it would probably be worth it to start them on this system.	1.0	Usage	no	before		29
2358	1370	B00009IM5V	A1BOJ3936IE1E0	Toys & Games	12	And if you have the version for younger kids and are thinking up upgrading to this version, wait until your child has outgrown the first one.	1.0	Usage	yes	before		26
2366	1377	B00009KWV6	A21OUZBS4S164B	Toys & Games	2	But the turning key broke after only two months, and the  wheel in the middle stopped working after about three months as well as the number five.	1.0	Warning	no	before		27
2425	1574	B0000C4E3M	A1TL6BYW8C4SVF	Toys & Games	3	I recommend making sure the volume is on low because it is rather loud on high.	1.0	Usage	yes	after		16
2435	1575	B0000C4E3N	A3HTSJLOEF2SQ1	Toys & Games	6	I HAVE BEEN TO TOYS R US 3 TIMES ALREADY BECAUSE THE ELMO CARTRIDGE WOULDNT WORK!!!	1.0	Warning	yes	before		15
