	asin	reviewer_id	category	freq	sentence	num_review	num_sentence	sen_length
0	B000J3H31W	A1P64ZMQZDLL1W	Clothing, Shoes & Jewelry	12	These are easy shoes to slip on and off so I can't really complain.	1	1	14
1	B000J3H31W	A1P64ZMQZDLL1W	Clothing, Shoes & Jewelry	12	They are slightly bigger than I expected, but anything smaller would have been too tight.	1	2	15
2	B000J3H31W	A1P64ZMQZDLL1W	Clothing, Shoes & Jewelry	12	The points of the shoes kind of start to go up, as in elf shoes but nothing tremendously obvious.	1	3	19
3	B000J3H31W	A36NGMIQTDR5YT	Clothing, Shoes & Jewelry	12	I wear between a 6 1/2 and 7.	2	1	5
4	B000J3H31W	A36NGMIQTDR5YT	Clothing, Shoes & Jewelry	12	Usually I get a 7 to be on the safe side.	2	2	10
5	B000J3H31W	A36NGMIQTDR5YT	Clothing, Shoes & Jewelry	12	However, the 7 is way too big - so you may want to go down a size.	2	3	15
6	B000J3H31W	A36NGMIQTDR5YT	Clothing, Shoes & Jewelry	12	This shoe is also really shiny.	2	4	6
7	B000J3H31W	A36NGMIQTDR5YT	Clothing, Shoes & Jewelry	12	If they fit they would be a pretty comfy shoe and look nice with dress pants.	2	5	16
8	B000J3H31W	A3G3JYRMZN9XR9	Clothing, Shoes & Jewelry	12	I bought these in the fushia plaid (which is more of a purple) & I always get compliments when I wear them.	3	1	21
9	B000J3H31W	A3G3JYRMZN9XR9	Clothing, Shoes & Jewelry	12	They are comfortable but they have no arch support (not a problem for me) & they are not high quality but for the money you can't expect them to be.	3	2	29
10	B000J3H31W	A3G3JYRMZN9XR9	Clothing, Shoes & Jewelry	12	They were definitely a good buy.	3	3	6
11	B000J3H31W	A353U0L2HAMSHV	Clothing, Shoes & Jewelry	12	I purchased these on a whim when I saw them come up as a Lightning Deal.	4	1	16
12	B000J3H31W	A353U0L2HAMSHV	Clothing, Shoes & Jewelry	12	The reviews were good and I was in need of a new pair of black flats.	4	2	16
13	B000J3H31W	A353U0L2HAMSHV	Clothing, Shoes & Jewelry	12	The only problem I found with the reviews that I read were that they seemed all over the board about what size to order; some said they run small, some said too big and others said just right.	4	3	38
14	B000J3H31W	A353U0L2HAMSHV	Clothing, Shoes & Jewelry	12	I decided to go with my normal size and hope for the best and I'm glad I did; they fit perfectly!	4	4	21
15	B000J3H31W	A353U0L2HAMSHV	Clothing, Shoes & Jewelry	12	Not too tight, but not to loose and after wearing them a full day I didn't have any blisters or sore spots from uneven wear.	4	5	25
16	B000J3H31W	A353U0L2HAMSHV	Clothing, Shoes & Jewelry	12	In the future if looking for new shoes, I will definitely give this brand another try.	4	6	16
17	B000J3H31W	AUJW5O2PQUDAF	Clothing, Shoes & Jewelry	12	I first bought these in black leather and wore them so much that I had to have another pair.	5	1	19
18	B000J3H31W	AUJW5O2PQUDAF	Clothing, Shoes & Jewelry	12	The nude patten is a little dressier than the plain leather black so they are great to dress up a pair of jeans or wear with dresses.	5	2	27
19	B000J3H31W	AUJW5O2PQUDAF	Clothing, Shoes & Jewelry	12	They are super comfortable and I am already considering adding another pair yo my collection.	5	3	15
52	B000UPVCPW	A18LVHY887HL23	Clothing, Shoes & Jewelry	39	Yes it fit but I think it's kind of a stretch to call it &#34;one size&#34;.	13	1	16
53	B000UPVCPW	A18LVHY887HL23	Clothing, Shoes & Jewelry	39	I think on a smaller girl, it would have looked better and that was disappointed.	13	2	15
54	B000UPVCPW	A18LVHY887HL23	Clothing, Shoes & Jewelry	39	Especially because I am not very big.	13	3	7
55	B000UPVCPW	A18LVHY887HL23	Clothing, Shoes & Jewelry	39	I normally wear a size 10-12 so I feel like one size should at least fit that.	13	4	16
56	B000UPVCPW	A18LVHY887HL23	Clothing, Shoes & Jewelry	39	For the price it was decent, but I wouldn't recommend this.	13	5	11
57	B000UPVCPW	A18LVHY887HL23	Clothing, Shoes & Jewelry	39	It just looks awkward.	13	6	4
58	B000UPVCPW	A4JMJXDC3MIWM	Clothing, Shoes & Jewelry	39	This is sexier on ma girlfriend that the girl on the package.	14	1	12
59	B000UPVCPW	A4JMJXDC3MIWM	Clothing, Shoes & Jewelry	39	I love everything about it and the material feels great.	14	2	10
60	B000UPVCPW	A4JMJXDC3MIWM	Clothing, Shoes & Jewelry	39	I wanna see her in it every single day.	14	3	10
61	B000UPVCPW	A4JMJXDC3MIWM	Clothing, Shoes & Jewelry	39	Well done for the designers.	14	4	5
62	B000UPVCPW	A4JMJXDC3MIWM	Clothing, Shoes & Jewelry	39	No complains about this one!	14	5	5
63	B000UPVCPW	A17YPB3JICRUK2	Clothing, Shoes & Jewelry	39	I purchased this for my wife (well and for me).	15	1	10
64	B000UPVCPW	A17YPB3JICRUK2	Clothing, Shoes & Jewelry	39	This thing is sexy!	15	2	4
65	B000UPVCPW	A17YPB3JICRUK2	Clothing, Shoes & Jewelry	39	It also was a great price.	15	3	6
66	B000UPVCPW	A17YPB3JICRUK2	Clothing, Shoes & Jewelry	39	She is  like 5'2 and 130 or so and it fits her REAL well.	15	4	12
67	B000UPVCPW	A17YPB3JICRUK2	Clothing, Shoes & Jewelry	39	It says it is one size and I don't know if it will fit ALL WOMEN.Seems to be well made.	15	5	19
68	B000UPVCPW	A17YPB3JICRUK2	Clothing, Shoes & Jewelry	39	I haven't tore it up yet.She has used maybe 5-6 times in one year....	15	6	12
69	B000UPVCPW	A3U01S8J00YSRE	Clothing, Shoes & Jewelry	39	The material is a little cheap, but overall it has a nice look and is sexy enough for the bedroom!	16	1	20
70	B000UPVCPW	ACYANSO2REKG6	Clothing, Shoes & Jewelry	39	This product is very sensual and fits very well in the body of a woman.	17	1	15
71	B000UPVCPW	ACYANSO2REKG6	Clothing, Shoes & Jewelry	39	It is also an economic product.	17	2	6
72	B000UPVCPW	ACYANSO2REKG6	Clothing, Shoes & Jewelry	39	I recommend it.	17	3	3
207	B000W8YCHW	A3SX5OYZ80U6YD	Clothing, Shoes & Jewelry	6	I love the fact that these are both black and white.	52	1	11
208	B000W8YCHW	A3SX5OYZ80U6YD	Clothing, Shoes & Jewelry	6	They remind me of men's wingtips.	52	2	6
209	B000W8YCHW	A3SX5OYZ80U6YD	Clothing, Shoes & Jewelry	6	Being both colors they can be worn all year round.	52	3	10
210	B000W8YCHW	A3SX5OYZ80U6YD	Clothing, Shoes & Jewelry	6	Also, I am only 5 feet 3 inches tall and the heel is just enough to get my jeans off the floor.	52	4	20
211	B000W8YCHW	A3SX5OYZ80U6YD	Clothing, Shoes & Jewelry	6	I would recommend this shoe to anyone who is looking for shoes that have both black and white on them.	52	5	20
212	B000W8YCHW	A2C7UF7AZVF4UC	Clothing, Shoes & Jewelry	6	I get tons of complements when ever I wear these out.	53	1	11
213	B000W8YCHW	A2C7UF7AZVF4UC	Clothing, Shoes & Jewelry	6	I also have the plain black ones I wear almost daily, great comfort and but dressy enough to wear at the office.	53	2	22
214	B000W8YCHW	A1UW5FGCABJ8QB	Clothing, Shoes & Jewelry	6	On the screen I loved the look of these, and since the price was low enough (for leather!)	54	1	18
215	B000W8YCHW	A1UW5FGCABJ8QB	Clothing, Shoes & Jewelry	6	to be almost free, I ordered them.	54	2	7
216	B000W8YCHW	A1UW5FGCABJ8QB	Clothing, Shoes & Jewelry	6	Unfortunately, the leather was stiff and cut painfully into the top of my foot.	54	3	14
217	B000W8YCHW	A1UW5FGCABJ8QB	Clothing, Shoes & Jewelry	6	Also, when I actually saw the shoes, my thought was that the visual design would be improved if either (1) the black strap went all the way across and connected to the sole on both sides in a continuous wide black strip, or (2) the strap were white.	54	4	46
218	B000W8YCHW	A1UW5FGCABJ8QB	Clothing, Shoes & Jewelry	6	Back they went.	54	5	3
219	B000W8YCHW	A2QKJ5F5ZK3UKD	Clothing, Shoes & Jewelry	6	OK, these shoes are cool, but unfortunately sizing is irregular by comparison with pretty much any other shoes I've worn (and I've worn many).	55	1	24
220	B000W8YCHW	A2QKJ5F5ZK3UKD	Clothing, Shoes & Jewelry	6	My regular size 6 is way too short in the toebox, toes getting cramped and hurt, and size 7 (the do not make half sizes) is HUGE.	55	2	25
221	B000W8YCHW	A2QKJ5F5ZK3UKD	Clothing, Shoes & Jewelry	6	So I have to deal with size 6 and occasional blisters.	55	3	10
222	B000W8YCHW	A2QKJ5F5ZK3UKD	Clothing, Shoes & Jewelry	6	They seem to be fairly sturdy, but for street wear and not dog walking, as I learned the hard way.	55	4	20
223	B000W8YCHW	A2QKJ5F5ZK3UKD	Clothing, Shoes & Jewelry	6	They match pretty much anything from long skirts to pants and look awesome with my knee high and thigh high socks.	55	5	21
224	B000W8YCHW	A2QKJ5F5ZK3UKD	Clothing, Shoes & Jewelry	6	I clean them with a damp rag and rub some beeswax shoe protector on them, they are still shiny after a year's use.	55	6	23
225	B000W8YCHW	A2QKJ5F5ZK3UKD	Clothing, Shoes & Jewelry	6	I suggest putting Band-Aids on your heels while breaking them in, they tore up my feet pretty bad in the beginning.	55	7	20
226	B000W8YCHW	A378E10AXX8RVH	Clothing, Shoes & Jewelry	6	I absolutely love T.U.K.	56	1	3
227	B000W8YCHW	A378E10AXX8RVH	Clothing, Shoes & Jewelry	6	This is my 6th pair and I plan to keep buying them as long as they continue to make such comfortable and cute shoes.	56	3	23
228	B000W8YCHW	A378E10AXX8RVH	Clothing, Shoes & Jewelry	6	Love these!!	56	4	2
229	B000W8YCHW	A378E10AXX8RVH	Clothing, Shoes & Jewelry	6	They break in easily (usually within the first day) and are extremely comfortable.	56	5	13
230	B000W8YCHW	A378E10AXX8RVH	Clothing, Shoes & Jewelry	6	I'm so glad amazon carries this brand because I have yet to find it in a store in my area.	56	6	20
236	B002BA5NS6	A9FJFURSISMVT	Clothing, Shoes & Jewelry	12	These are pretty nice earrings for the price.	58	1	8
237	B002BA5NS6	A9FJFURSISMVT	Clothing, Shoes & Jewelry	12	Not too heavy, not too light.	58	2	6
238	B002BA5NS6	A9FJFURSISMVT	Clothing, Shoes & Jewelry	12	They are exactly as described.	58	3	5
239	B002BA5NS6	A9FJFURSISMVT	Clothing, Shoes & Jewelry	12	I like them.	58	4	3
240	B002BA5NS6	A2AAZU0A1EELE8	Clothing, Shoes & Jewelry	12	I needed something more than just my diamond studs and my silver hoop earrings to wear to work.	59	1	18
241	B002BA5NS6	A2AAZU0A1EELE8	Clothing, Shoes & Jewelry	12	These provide just the right amount of elegance without being too gaudy or flashy, and I don't need to worry about checking to make sure one didn't fall out during the day.	59	2	32
242	B002BA5NS6	A2AAZU0A1EELE8	Clothing, Shoes & Jewelry	12	If I lose one, I'll just buy another pair!	59	3	9
243	B002BA5NS6	A2AAZU0A1EELE8	Clothing, Shoes & Jewelry	12	I doubt I will ever lose one though - the clasp is very snug and secure.	59	4	15
244	B002BA5NS6	A1DVZLY50X52IP	Clothing, Shoes & Jewelry	12	I thought  they would be bigger the picture is a little mis leading but it's still a cute  pair of earrings	60	1	21
245	B002BA5NS6	A3S1JAK0NNAE00	Clothing, Shoes & Jewelry	12	These were exactly what I was looking for- very cute, doesn't have that CHEAP look, but came for a cheap price!	61	1	20
246	B002BA5NS6	A3S1JAK0NNAE00	Clothing, Shoes & Jewelry	12	quick delivery, didn't turn my ears green, A+ from me!	61	2	9
247	B002BA5NS6	AX84AFC7JX1I5	Clothing, Shoes & Jewelry	12	I really like the lever back design and find that these earrings are comfortable enough to sleep in.	62	1	18
248	B002BA5NS6	AX84AFC7JX1I5	Clothing, Shoes & Jewelry	12	They are not so big as to appear &#34;fake&#34;.	62	2	9
249	B002BA5NS6	AX84AFC7JX1I5	Clothing, Shoes & Jewelry	12	PLEASE Amazon, make these available in a cushion cut.	62	3	9
250	B002BA5NS6	AX84AFC7JX1I5	Clothing, Shoes & Jewelry	12	I'd be happy to buy more.	62	4	6
276	B00366DZZM	ATV7SOQJ9YQ88	Clothing, Shoes & Jewelry	6	I've been looking for a good-sized reasonably priced gym bag to accommodate all my yoga gear (mat, towels, change of clothes) and this seemed to fit the bill.	70	1	27
277	B00366DZZM	ATV7SOQJ9YQ88	Clothing, Shoes & Jewelry	6	This bag is much larger than I expected and could easily be used as luggage for an extra long weekend.	70	2	20
278	B00366DZZM	ATV7SOQJ9YQ88	Clothing, Shoes & Jewelry	6	There is only one zipper for each compartment, not the double sided option you might be used to and that I prefer; also  the zipper on the main compartment can be a little fussy when rounding the corner  Color is not true to picture, but that's minor considering what you get for the price!	70	3	54
279	B00366DZZM	A3O8KIPKR1I1IB	Clothing, Shoes & Jewelry	6	durable and easy on the eyes.	71	1	6
280	B00366DZZM	A3O8KIPKR1I1IB	Clothing, Shoes & Jewelry	6	the photo shows it muuuch lighter than the actual color which is more of the purple on the wrapper for crayola's violet purple crayon.	71	2	24
281	B00366DZZM	A3O8KIPKR1I1IB	Clothing, Shoes & Jewelry	6	...that has to be the most specific description I've ever made for a color...	71	3	14
282	B00366DZZM	A2BJSUKXYWI3K2	Clothing, Shoes & Jewelry	6	This bag is great for travel or just about anything else.You can put everything you need for a trip and go.Love it.	72	1	20
