	asin	reviewer_id	category	freq	sentence	num_review	num_sentence	sen_length
0	B000E1BL5S	A3LMS2UO0ESHX5	Grocery & Gourmet Food	89	May 26th: New update I just received a new shipment of these nuts but they lacked the chili pepper to make them hot.	1	1	22
1	B000E1BL5S	A3LMS2UO0ESHX5	Grocery & Gourmet Food	89	Fortunately, Amazon is making it right but I am saddened by this problem with planters.Jan 8, 2012: Update, for a while in 2011 there were bad patches of these nuts where for some reason the hot chili pepper was missing making the flavor subpar - there are several reviews mentioning this and I have personally experienced a few of these packs which I could not enjoy.	1	2	61
2	B000E1BL5S	A3LMS2UO0ESHX5	Grocery & Gourmet Food	89	Anyway, last week I received my latest Subscribe and Save order from Amazon and I am pleased to report that the tried and true recipe was used for that batch - dated best by 7-31-12.My favorite snack is nuts, particularly pistachios, almonds, cashews and peanuts - Yes, I know peanuts are not nuts but a legume.	1	3	53
3	B000E1BL5S	A3LMS2UO0ESHX5	Grocery & Gourmet Food	89	This particular variety of planters nuts are my favorite and can be hard to find, especially now that they have all these new designer flavors, most of which I just don't like at all.	1	4	34
4	B000E1BL5S	A3LMS2UO0ESHX5	Grocery & Gourmet Food	89	Chipotle has an aftertaste I don't enjoy and the other new flavors are too strong or too salty.	1	5	18
5	B000E1BL5S	A3LMS2UO0ESHX5	Grocery & Gourmet Food	89	The regular, honey roasted and heat nuts are the only varieties I enjoy.	1	6	13
6	B000E1BL5S	A3LMS2UO0ESHX5	Grocery & Gourmet Food	89	Heat nuts are not too hot, but certainly not mild.	1	7	10
7	B000E1BL5S	A3LMS2UO0ESHX5	Grocery & Gourmet Food	89	The hot spices heat up the taste of a roasted peanut instead of masking it.Nuts are far more nutritious than potato chips or pretzels which are mostly empty calories.	1	8	28
8	B000E1BL5S	A3LMS2UO0ESHX5	Grocery & Gourmet Food	89	Nuts are also loaded with fat, good fat, which makes you feel full instead of spiking your insulin levels like non-fat snacks do.	1	9	22
9	B000E1BL5S	A3LMS2UO0ESHX5	Grocery & Gourmet Food	89	But keep in mind a few nuts contain plenty of calories and it is easy to just keeping eating your way to the next size pants.	1	10	26
10	B000E1BL5S	A3LMS2UO0ESHX5	Grocery & Gourmet Food	89	The good news is that each packet, about 300 calories, makes for good portion control.	1	11	14
11	B000E1BL5S	A3LMS2UO0ESHX5	Grocery & Gourmet Food	89	Eat one pack and stop.	1	12	5
12	B000E1BL5S	A3LMS2UO0ESHX5	Grocery & Gourmet Food	89	Amazon has a great price and free shipping.	1	13	8
13	B000E1BL5S	A3LMS2UO0ESHX5	Grocery & Gourmet Food	89	If you like nuts and like hot and spicy, you'll love Heat Peanuts.	1	14	13
14	B000E1BL5S	A2YIO225BTKVPU	Grocery & Gourmet Food	89	makes a good snack- the 6 oz portion is convenient and makes for ez snacking.	2	1	13
15	B000E1BL5S	A2YIO225BTKVPU	Grocery & Gourmet Food	89	mine arrived with a best used by date of 9-2013, so plenty of time to get through 12 packs.	2	2	17
