	asin	reviewer_id	category	freq	sentence	num_review	num_sentence	sen_length
0	B0002DSVTC	A34W2MFO0M3MNN	Health & Personal Care	51	They're only a dollar each for name brand batteries ...free shipping!	1	1	11
1	B0002DSVTC	A34W2MFO0M3MNN	Health & Personal Care	51	Less than a dollar even.	1	2	5
2	B0002DSVTC	A34W2MFO0M3MNN	Health & Personal Care	51	Can't beat that.	1	3	3
3	B0002DSVTC	A34W2MFO0M3MNN	Health & Personal Care	51	Came in a week; lasted 2 months.	1	4	6
4	B0002DSVTC	A34W2MFO0M3MNN	Health & Personal Care	51	I paid $10 each for Radio Shack brand batteries (plus tax) which lasted about a month.	1	5	15
5	B0002DSVTC	A34W2MFO0M3MNN	Health & Personal Care	51	I use them for my spoke lights (need 4 total).	1	6	9
6	B0002DSVTC	A34W2MFO0M3MNN	Health & Personal Care	51	They're good for $1 & more of a value than store bought batteries: $40 vs. $4.CON?	1	7	11
7	B0002DSVTC	A34W2MFO0M3MNN	Health & Personal Care	51	2 MONTH LIFE.	1	8	2
8	B0002DSVTC	A34W2MFO0M3MNN	Health & Personal Care	51	Still lasted longer than Radio Shack batteries.	1	9	7
9	B0002DSVTC	A34W2MFO0M3MNN	Health & Personal Care	51	They're not in the retail packaging and there's no expiration date.	1	10	11
10	B0002DSVTC	A34W2MFO0M3MNN	Health & Personal Care	51	I wish they lasted longer but so far they're the best deal I can find.	1	11	15
11	B0002DSVTC	A27BAP6N4WJ3G1	Health & Personal Care	51	The batteries arrived in the projected time, good quality products and recognized brand, great price, nice place to buy.Energizer Watch/Electronic Batteries, 3 Volts, 2016, 2 batteries	3	1	21
12	B0002DSVTC	A2Z2VZEOYK3EMX	Health & Personal Care	51	I use these in my Photon key chain flashlight which won't work without them.	4	1	14
13	B0002DSVTC	A2Z2VZEOYK3EMX	Health & Personal Care	51	Need I say more?	4	2	4
14	B0002DSVTC	A2Z2VZEOYK3EMX	Health & Personal Care	51	Three words more.	4	3	3
15	B0002DSVTC	AMQRQRNZGLKD5	Health & Personal Care	51	bought this as an add on  device  mainly for back up  was pleasantly  surprised .!	5	1	14
16	B0002DSVTC	AMQRQRNZGLKD5	Health & Personal Care	51	!Beat the Wally World prices  very muchworth the small wait!!	5	2	10
17	B0002DSVTC	AMQRQRNZGLKD5	Health & Personal Care	51	Kerflooosh  Thanks  Amazon!	5	3	3
172	B0009R5AA4	A196TMEBP8NW5V	Health & Personal Care	6	I purchased this recently at my grocery store and then checked Amazon to see if it was cheaper, because now that I've discovered it I never want to run out!	52	1	30
173	B0009R5AA4	A196TMEBP8NW5V	Health & Personal Care	6	IT'S AMAZING.	52	2	2
174	B0009R5AA4	A196TMEBP8NW5V	Health & Personal Care	6	We have multiple pets and low-pile carpet in a few areas of the house.	52	3	13
175	B0009R5AA4	A196TMEBP8NW5V	Health & Personal Care	6	"I've tried other brands of ""carpet refreshers"" or ""odor control"" and wind up with some horrible sickening hybrid perfume and pet odor smell that actually makes the situation worse."	52	4	29
176	B0009R5AA4	A196TMEBP8NW5V	Health & Personal Care	6	I tried this (the foaming no vacuum version) and it ACTUALLY WORKS.	52	5	12
177	B0009R5AA4	A196TMEBP8NW5V	Health & Personal Care	6	The pet smell is 100% gone and what's left is a clean, mild smell that just smells a little like gardenia (and not catpoop-gardenia)	52	6	22
178	B0009R5AA4	A22JLFSDW75E8U	Health & Personal Care	6	After purchasing our home we noticed one spot of carpet that had a really bad foot odor.	53	1	17
179	B0009R5AA4	A22JLFSDW75E8U	Health & Personal Care	6	We tried EVERYTHING, we even steam cleaned the carpet in that spot repeatedly.I wish we had saved our money and just tried this first.	53	2	23
180	B0009R5AA4	A22JLFSDW75E8U	Health & Personal Care	6	After one use the odor was gone.	53	3	7
181	B0009R5AA4	A22JLFSDW75E8U	Health & Personal Care	6	I have a really good nose and have sniffed all over the carpet.	53	4	13
182	B0009R5AA4	A22JLFSDW75E8U	Health & Personal Care	6	It has been months and the odor is still gone.This stuff is cheap, and it works.	53	5	15
183	B0009R5AA4	A22JLFSDW75E8U	Health & Personal Care	6	Give it a try!	53	6	4
184	B0009R5AA4	A11PTCZ2FM2547	Health & Personal Care	6	I no longer have pets.	54	1	5
185	B0009R5AA4	A11PTCZ2FM2547	Health & Personal Care	6	I used to--I used to have a bunch.	54	2	9
186	B0009R5AA4	A11PTCZ2FM2547	Health & Personal Care	6	"So I know all about ""pet odor."""	54	3	7
187	B0009R5AA4	A11PTCZ2FM2547	Health & Personal Care	6	And critters and carpet just don't go to together:  never have, never will.	54	4	13
188	B0009R5AA4	A11PTCZ2FM2547	Health & Personal Care	6	So I've been a devout user of CARPET FRESH NO VACUUM FOAM (SUPER PET), and I still use this delightful foam even though the pets are long gone, because I love the way it freshens up my humble abode.This foam is so easy to use; just spray--that's it.	54	5	48
189	B0009R5AA4	A11PTCZ2FM2547	Health & Personal Care	6	No vacuuming, no mess.	54	6	4
190	B0009R5AA4	A11PTCZ2FM2547	Health & Personal Care	6	.just a room that smells fresh and clean.	54	8	7
191	B0009R5AA4	A11PTCZ2FM2547	Health & Personal Care	6	And be sure you're buying the SUPER PET version; it furnishes the freshest, most pleasing scent.	54	9	16
192	B0009R5AA4	A11PTCZ2FM2547	Health & Personal Care	6	I find this foam is just what the doctor ordered after cooking a meal that lingers in the connecting rooms off the kitchen.	54	10	23
193	B0009R5AA4	A11PTCZ2FM2547	Health & Personal Care	6	Was that bacon I cooked for breakfast?	54	11	7
