	asin	reviewer_id	category	freq	sentence	num_review	num_sentence	sen_length
0	B0036255ZE	A1LWHQY6JOWHBG	Cell Phones & Accessories	5	I must say in a word Zagg SmartBuds are awesome!	1	2	10
1	B0036255ZE	A1LWHQY6JOWHBG	Cell Phones & Accessories	5	I have the Bose version.	1	3	5
2	B0036255ZE	A1LWHQY6JOWHBG	Cell Phones & Accessories	5	Both in the ear and over the head.	1	4	8
3	B0036255ZE	A1LWHQY6JOWHBG	Cell Phones & Accessories	5	Not real wild about either, but they work.	1	5	8
4	B0036255ZE	A1LWHQY6JOWHBG	Cell Phones & Accessories	5	Then I found something that I though nobody would beat.	1	6	10
5	B0036255ZE	A1LWHQY6JOWHBG	Cell Phones & Accessories	5	The Plantronics Back Beat 906.	1	7	4
6	B0036255ZE	A1LWHQY6JOWHBG	Cell Phones & Accessories	5	A blue tooth variation that controls your music, has excellent volume range, allows you to take calls and even pause everything and open the mic so you can hear your suroundings.	1	8	31
7	B0036255ZE	A1LWHQY6JOWHBG	Cell Phones & Accessories	5	I thought they were tops.	1	9	5
8	B0036255ZE	A1LWHQY6JOWHBG	Cell Phones & Accessories	5	Then I ordered the Zagg Sparq2.0 back up battery system.	1	10	9
9	B0036255ZE	A1LWHQY6JOWHBG	Cell Phones & Accessories	5	They offered a pair of SmartBuds free with the order.	1	11	10
10	B0036255ZE	A1LWHQY6JOWHBG	Cell Phones & Accessories	5	Ok, I always keep my Bose wired headset close or in my computer bag incase I just get tired of wearing the back beats and need something different.	1	12	28
11	B0036255ZE	A1LWHQY6JOWHBG	Cell Phones & Accessories	5	So the package arrived and out came the smart buds.	1	13	10
12	B0036255ZE	A1LWHQY6JOWHBG	Cell Phones & Accessories	5	I plugged them in and....WOW!	1	14	6
13	B0036255ZE	A1LWHQY6JOWHBG	Cell Phones & Accessories	5	These things crank louder than ANY headset I have tried since I started using ipods and iphones, many, many years ago.	1	15	21
14	B0036255ZE	A1LWHQY6JOWHBG	Cell Phones & Accessories	5	I also have ALWAYS had my EQ setting on bass boost.	1	16	11
15	B0036255ZE	A1LWHQY6JOWHBG	Cell Phones & Accessories	5	Not needed with the Zagg SmartBuds.	1	17	6
16	B0036255ZE	A1LWHQY6JOWHBG	Cell Phones & Accessories	5	"I loved my blue tooth ear phones because I could never get an ""in ear"" version to stay in my ears."	1	18	21
17	B0036255ZE	A1LWHQY6JOWHBG	Cell Phones & Accessories	5	Not a problem with the Zagg cord management system.	1	19	9
18	B0036255ZE	A1LWHQY6JOWHBG	Cell Phones & Accessories	5	These are by far the most comfortable ear phones I've ever used, Back Beats included.	1	20	15
19	B0036255ZE	A1LWHQY6JOWHBG	Cell Phones & Accessories	5	The only thing I would change if I could change anything would be the slider volume control.	1	21	17
20	B0036255ZE	A1LWHQY6JOWHBG	Cell Phones & Accessories	5	It's just a little touchy with such a broad range in a small slide area.	1	22	15
21	B0036255ZE	A1LWHQY6JOWHBG	Cell Phones & Accessories	5	It's easy to blast yourself when trying a small adjustment.	1	23	10
22	B0036255ZE	A1LWHQY6JOWHBG	Cell Phones & Accessories	5	Call quality is awesome.	1	24	4
23	B0036255ZE	A1LWHQY6JOWHBG	Cell Phones & Accessories	5	I'm loud and clear and so are my callers to me.	1	25	11
24	B0036255ZE	A1LWHQY6JOWHBG	Cell Phones & Accessories	5	I am very impressed and will order another pair to keep in my other bag.. Now I just hope I like the Zagg Sparq2.0, the whole reason I was even introduced to the SmartBuds, just as much...	1	26	36
25	B0036255ZE	A3SGCU4IPNHXV0	Cell Phones & Accessories	5	My Zagg Smartbuds fell apart repeatedly.	2	1	6
26	B0036255ZE	A3SGCU4IPNHXV0	Cell Phones & Accessories	5	Zagg's customer service offered me a discount on another pair but that's it.	2	2	13
27	B0036255ZE	A3SGCU4IPNHXV0	Cell Phones & Accessories	5	I've had to fix mine repeatedly.	2	3	6
28	B0036255ZE	A3SGCU4IPNHXV0	Cell Phones & Accessories	5	The last time they fell apart, the button was lost.	2	4	10
29	B0036255ZE	A3SGCU4IPNHXV0	Cell Phones & Accessories	5	I like that they loop around the neck but the way that the mic/volume controls are set up is terrible because it falls apart.	2	5	23
30	B0036255ZE	A3SGCU4IPNHXV0	Cell Phones & Accessories	5	The plastic around the jack has also cracked.	2	6	8
31	B0036255ZE	A3SGCU4IPNHXV0	Cell Phones & Accessories	5	Never buying from Zagg again, I don't recommend that you do either.	2	7	12
32	B0036255ZE	AC0J24YW9X2FO	Cell Phones & Accessories	5	For plug in headphones, these are GREAT.	3	1	7
33	B0036255ZE	AC0J24YW9X2FO	Cell Phones & Accessories	5	My problem is that I am not in love with things inside my ears.	3	2	14
34	B0036255ZE	AC0J24YW9X2FO	Cell Phones & Accessories	5	Otherwise they are GREAT	3	3	4
35	B0036255ZE	A3C39T2CWNT95R	Cell Phones & Accessories	5	ALL of the provided sleeve sizes are big enough to plug an elephants butt!	4	1	14
36	B0036255ZE	A3C39T2CWNT95R	Cell Phones & Accessories	5	The volume is scaled way down and the buds are way to large for everyone in my house.	4	2	18
37	B0036255ZE	A3C39T2CWNT95R	Cell Phones & Accessories	5	They won't stay in place.	4	3	5
38	B0036255ZE	A3C39T2CWNT95R	Cell Phones & Accessories	5	Would never buy again!	4	4	4
39	B0036255ZE	A2TO0Y1RR9W48N	Cell Phones & Accessories	5	I was looking for a set of buds for working out in the yard and for work.	5	1	17
40	B0036255ZE	A2TO0Y1RR9W48N	Cell Phones & Accessories	5	I needed something that controls work with my Galaxy S3, had good sound, and good cable management.	5	2	16
41	B0036255ZE	A2TO0Y1RR9W48N	Cell Phones & Accessories	5	These fit the bill perfectly.	5	3	5
42	B0036255ZE	A2TO0Y1RR9W48N	Cell Phones & Accessories	5	I was a little worried about the build quality after reading some of the other reviews but I was pleasantly surprised.	5	4	21
43	B0036255ZE	A2TO0Y1RR9W48N	Cell Phones & Accessories	5	The cables them selves appear to  be reinforced, at least they are better than a standard ear bud.If I run into any issues, I will update the review.	5	5	27
44	B003Y5A9HM	A3KAS3FRIB4L9Q	Cell Phones & Accessories	16	I know, it is just a battery.	6	1	7
45	B003Y5A9HM	A3KAS3FRIB4L9Q	Cell Phones & Accessories	16	But at $3.50, it is the best $3.50 I've spent on mobile technology lately because it breathed new life into my dying phone.	6	2	21
46	B003Y5A9HM	A3KAS3FRIB4L9Q	Cell Phones & Accessories	16	I can now go a whole day again without a charge.The seller did fine, too.	6	3	14
47	B003Y5A9HM	A3KAS3FRIB4L9Q	Cell Phones & Accessories	16	No muss, no fuss.	6	4	4
48	B003Y5A9HM	A37Y0QAPBSEA61	Cell Phones & Accessories	16	I have been looking everywhere for a replacement battery for my phone.	7	1	12
49	B003Y5A9HM	A37Y0QAPBSEA61	Cell Phones & Accessories	16	I also needed it to be affordable.	7	2	7
50	B003Y5A9HM	A37Y0QAPBSEA61	Cell Phones & Accessories	16	This was both!	7	3	3
51	B003Y5A9HM	A37Y0QAPBSEA61	Cell Phones & Accessories	16	Great find and I'm eternally grateful to this seller!	7	4	9
52	B003Y5A9HM	A178RW5ZI68YR3	Cell Phones & Accessories	16	This supposedly new battery lasts half as long as my year old battery.	8	1	13
53	B003Y5A9HM	A178RW5ZI68YR3	Cell Phones & Accessories	16	I suspect that these are either recycled or defective batteries.	8	2	10
54	B003Y5A9HM	AKAVQBCKGADSY	Cell Phones & Accessories	16	I bought a couple of these because I was spectacle due to the price.I now have two great batteries that work as advertised.	9	1	22
55	B003Y5A9HM	AKAVQBCKGADSY	Cell Phones & Accessories	16	For the price you cant go wrong I can now make it through the day on a single charge again.	9	2	20
56	B003Y5A9HM	A1W7268RRFD3DJ	Cell Phones & Accessories	16	love this item.	10	1	3
57	B003Y5A9HM	A1W7268RRFD3DJ	Cell Phones & Accessories	16	helps to have a backup plan.	10	2	6
58	B003Y5A9HM	A1W7268RRFD3DJ	Cell Phones & Accessories	16	great price and easy to deal with vendor.	10	3	8
59	B003Y5A9HM	A1W7268RRFD3DJ	Cell Phones & Accessories	16	will use again.	10	4	3
96	B0040PDK0I	A509LPZNKHAJU	Cell Phones & Accessories	5	These protectors are easy to use.	22	1	6
97	B0040PDK0I	A509LPZNKHAJU	Cell Phones & Accessories	5	They kept my screen nice and scratch free.	22	2	8
98	B0040PDK0I	A509LPZNKHAJU	Cell Phones & Accessories	5	I'm very happy with this product.	22	3	6
99	B0040PDK0I	A9J03MF2689TS	Cell Phones & Accessories	5	I purchased this because I've tried others that were a pain to put on, and I figured with 3 in a pack I'd get at least one right...	23	1	27
100	B0040PDK0I	A9J03MF2689TS	Cell Phones & Accessories	5	I was correct.	23	2	3
101	B0040PDK0I	A9J03MF2689TS	Cell Phones & Accessories	5	These aren't super high quality or anything, they're kinda flimsy allowing for bubbles, folds, and it will stick to itself pretty badly if allowed to bend far enough.	23	3	28
102	B0040PDK0I	A9J03MF2689TS	Cell Phones & Accessories	5	First one I put on had such a bad bubble when I put it on, that when I tried to push it out, and get it to the edge, the thin-ness of the protector actually allowed it to create a fold in itself, and i had to remove my first try.	23	4	50
103	B0040PDK0I	A9J03MF2689TS	Cell Phones & Accessories	5	Second one I got right for the most part.	23	5	9
104	B0040PDK0I	A9J03MF2689TS	Cell Phones & Accessories	5	It has a couple really small bubbles near the edges, and since i have a case on the phone you can't see them.	23	6	23
105	B0040PDK0I	A9J03MF2689TS	Cell Phones & Accessories	5	I have 1 extra left for when this one gets bad.	23	7	10
106	B0040PDK0I	A9J03MF2689TS	Cell Phones & Accessories	5	We'll see how long it takes.	23	8	6
107	B0040PDK0I	A9J03MF2689TS	Cell Phones & Accessories	5	About a month and a half with the current protector, and no damage at all to the phone or the protector.	23	9	21
108	B0040PDK0I	A9J03MF2689TS	Cell Phones & Accessories	5	It's standing up pretty well.	23	10	5
109	B0040PDK0I	A9J03MF2689TS	Cell Phones & Accessories	5	I'd recommend this product for the price, and the quality.	23	11	10
110	B0040PDK0I	A9J03MF2689TS	Cell Phones & Accessories	5	Ease of use I give a D- grade though.	23	12	8
111	B0040PDK0I	A3M6L13YZ8IUYJ	Cell Phones & Accessories	5	Great price!	24	1	2
112	B0040PDK0I	A3M6L13YZ8IUYJ	Cell Phones & Accessories	5	beter than any other so called high quality screen protector.	24	2	10
113	B0040PDK0I	A3M6L13YZ8IUYJ	Cell Phones & Accessories	5	Comes with three of them so they last a long time.	24	3	11
114	B0040PDK0I	AKYCL3RK6E2NI	Cell Phones & Accessories	5	GIVE TROUBLE TO PUT ON .	25	1	5
115	B0040PDK0I	AKYCL3RK6E2NI	Cell Phones & Accessories	5	HARD TO GET RID OF THE AIR BUBBLES.	25	2	8
116	B0040PDK0I	AKYCL3RK6E2NI	Cell Phones & Accessories	5	I WOULD NOT RECOMMEND THIS PRODUCT.	25	3	6
117	B0040PDK0I	A1VD4NW9WTLVGH	Cell Phones & Accessories	5	It doesn't look like I have the screen protector on the phone.	26	1	12
118	B0040PDK0I	A1VD4NW9WTLVGH	Cell Phones & Accessories	5	Sticks very well, NO problems with it bubbling or coming off.	26	2	11
119	B00574S96G	ALAJWHEZ3QZOB	Cell Phones & Accessories	5	I love this camera.	27	1	4
120	B00574S96G	ALAJWHEZ3QZOB	Cell Phones & Accessories	5	I got my iPhone from a good friend it had a cracked screen and the rear camera was broken.	27	2	19
121	B00574S96G	ALAJWHEZ3QZOB	Cell Phones & Accessories	5	I needed a camera for apps like Instagram so I took a chance and bought this after seeing how easy the repair was.	27	3	23
122	B00574S96G	ALAJWHEZ3QZOB	Cell Phones & Accessories	5	The delivery was quick and it came well-packaged.	27	4	7
123	B00574S96G	ALAJWHEZ3QZOB	Cell Phones & Accessories	5	It was very easy to put together.	27	5	7
124	B00574S96G	ALAJWHEZ3QZOB	Cell Phones & Accessories	5	I suggest getting a paper towel and laying out the screws the way they were in the phone.	27	6	18
125	B00574S96G	ALAJWHEZ3QZOB	Cell Phones & Accessories	5	I put the camera in and tried it out and it worked perfectly.	27	7	13
126	B00574S96G	ALAJWHEZ3QZOB	Cell Phones & Accessories	5	I compared it to my Uncles iPhone 4 camera and I couldn't tell which was which.	27	8	15
127	B00574S96G	ALAJWHEZ3QZOB	Cell Phones & Accessories	5	I totally recommend this camera.	27	9	5
128	B00574S96G	A3PDNN5MJF9ZJ0	Cell Phones & Accessories	5	i bought a used iphone cause im cheap like that for 120 bucks for an iphone 4 and i replaced the camera and bam, bada bing bada boom...it works perfectly.	28	1	29
129	B00574S96G	A3DTVMQGMNLX26	Cell Phones & Accessories	5	Very easy fix...if you have experience in breaking down an iphone.	29	1	12
130	B00574S96G	A3DTVMQGMNLX26	Cell Phones & Accessories	5	Worked perfectly and takes the same quality pics as the original.	29	2	11
131	B00574S96G	A3M7BL7WOSSPBP	Cell Phones & Accessories	5	First of all the part fit perfectly and i dont think you could find any better part for the price!	30	1	20
132	B00574S96G	A3M7BL7WOSSPBP	Cell Phones & Accessories	5	very pleased!	30	2	2
133	B00574S96G	A2AOBXQDUI3M18	Cell Phones & Accessories	5	Ordered this hoping to fix my iPhone 4 camera and I got the first one (didn't work).	31	1	16
134	B00574S96G	A2AOBXQDUI3M18	Cell Phones & Accessories	5	contacted Muchbuy they sent me a replacement that was a different connector so I didn't put it on.	31	2	18
