	asin	reviewer_id	category	freq	sentence	num_review	num_sentence	sen_length
0	B000AR2N76	A30CS2AL07WGU5	Sports & Outdoors	29	This spork is great.	1	1	4
1	B000AR2N76	A30CS2AL07WGU5	Sports & Outdoors	29	Really lightweight.	1	2	2
2	B000AR2N76	A30CS2AL07WGU5	Sports & Outdoors	29	Can pack it anywhere.	1	3	4
3	B000AR2N76	A30CS2AL07WGU5	Sports & Outdoors	29	I have used it just twice but I love it.	1	4	10
4	B000AR2N76	A30CS2AL07WGU5	Sports & Outdoors	29	Easy to clean.	1	5	3
5	B000AR2N76	A16X750Y5Z9O9B	Sports & Outdoors	29	The SnowPeak Titanium Spork has given me world-class performance from the office to desert camping trips.	2	1	15
6	B000AR2N76	A16X750Y5Z9O9B	Sports & Outdoors	29	It makes short work of Dinty Moore stew and canned cling peaches.	2	2	12
7	B000AR2N76	A16X750Y5Z9O9B	Sports & Outdoors	29	When I have my spork I feel there isn't a meal I can't handle.	2	3	14
8	B000AR2N76	A16X750Y5Z9O9B	Sports & Outdoors	29	As indispensible as duct tape, the spork can be used to tap out Morse code in an emergency.YOU NEED THIS SPORK.	2	4	20
9	B000AR2N76	A1NG11WBT8C0U2	Sports & Outdoors	29	Simply awesome!	3	1	2
10	B000AR2N76	A1NG11WBT8C0U2	Sports & Outdoors	29	It's light weight and functional for everything from soup to steak... My only problem is that the wife tries to steal it, might have to just get a setting for the whole family.	3	2	33
11	B000AR2N76	A3JJ2LAPAM96FJ	Sports & Outdoors	29	Really light and sturdy!	4	1	4
12	B000AR2N76	A3JJ2LAPAM96FJ	Sports & Outdoors	29	The size of the scoop is just nice to hold soup and at the same time, the &#34;spikes&#34; are able to poke solid food up to eat.	4	2	27
13	B000AR2N76	A2SI7PZ4T24Q15	Sports & Outdoors	29	Color does come off...gonna buy just the regular one next time.	5	1	13
14	B000AR2N76	A2SI7PZ4T24Q15	Sports & Outdoors	29	I drove the peeps at my job CRAZY with this thing!	5	2	11
15	B000AR2N76	A2SI7PZ4T24Q15	Sports & Outdoors	29	&#34;Real Men Haz a Titanium spork&#34;, I keep informing them!	5	3	10
16	B000AR2N76	A2SI7PZ4T24Q15	Sports & Outdoors	29	The color was just a HUGE plus!....Maybe:)Chris Olsen	5	4	10
140	B000F38SZ6	A1SU6TULUNXTY9	Sports & Outdoors	5	Just got this in the mail yesterday.	30	1	7
141	B000F38SZ6	A1SU6TULUNXTY9	Sports & Outdoors	5	Replaced the stock barrel and shroud on my Alpha Black, and it definitely gives the marker a more authentic look.	30	2	20
142	B000F38SZ6	A1SU6TULUNXTY9	Sports & Outdoors	5	Makes the gun heavier too.	30	3	5
143	B000F38SZ6	A1SU6TULUNXTY9	Sports & Outdoors	5	I haven't had a chance to shoot it yet, so I can't comment on how the longer barrel impacts the straightness of the shots, but I can comment on the shroud itself.	30	4	32
144	B000F38SZ6	A1SU6TULUNXTY9	Sports & Outdoors	5	Before I put it on my gun, I disassembled it to put a weaver rail on it for my vertical grip.	30	5	21
145	B000F38SZ6	A1SU6TULUNXTY9	Sports & Outdoors	5	It wasn't too much of a pain to take apart and put back together.	30	6	14
146	B000F38SZ6	A1SU6TULUNXTY9	Sports & Outdoors	5	After screwing the barrel into the gun and adjusting the shroud and sights, I noticed that by holding the grip and putting the slightest amount of pressure on it the shroud would twist left and right.	30	7	36
147	B000F38SZ6	A1SU6TULUNXTY9	Sports & Outdoors	5	The sights were firmly in place.	30	8	6
148	B000F38SZ6	A1SU6TULUNXTY9	Sports & Outdoors	5	I could see this being a huge issue in the middle of a game, so I may ditch the new shroud and sight and go back to the stock Alpha Black shroud (unfortunately).Also, becareful not to overtighten the screws because they screw right into the barrel.	30	9	46
149	B000F38SZ6	A1SU6TULUNXTY9	Sports & Outdoors	5	There's already heavy scratching where the screws dug into the barrel.	30	10	11
150	B000F38SZ6	A1SU6TULUNXTY9	Sports & Outdoors	5	The twisting shroud I mentioned above may also further scratch the barrel - I'm worried overtime this damage may eventually penetrate the barrel.	30	11	22
151	B000F38SZ6	A1SU6TULUNXTY9	Sports & Outdoors	5	So again, another reason to ditch the shroud and go back to the stock parts.	30	12	15
152	B000F38SZ6	A3E9J6FS8T5OS3	Sports & Outdoors	5	"its a great addition to your alpha black it really gives the marker that ""Tacti-cool"" look overall i think its ok I just wish they would make this in a 14"" option..."	31	1	30
153	B000F38SZ6	A237V9GJCUKAMJ	Sports & Outdoors	5	Ok this is a great add on to any 98 and is great for scenario play and what they say is right, it just screws right on.	32	1	26
154	B000F38SZ6	A237V9GJCUKAMJ	Sports & Outdoors	5	But if you go to Ebay, you can get a brand new one, never used, and has more hols in it so it is quieter for half the cost.	32	2	29
155	B000F38SZ6	A237V9GJCUKAMJ	Sports & Outdoors	5	Or you can get the package(barrel stock sight) for $100+$10 shipping when normally the package is about $150.	32	3	17
156	B000F38SZ6	A237V9GJCUKAMJ	Sports & Outdoors	5	I bought mine from WarpedSportsKc and they were great, fast shipping, no problems, and it is an actual Ebay Store so you know it is not just any person trying to get your $.	32	4	33
157	B000F38SZ6	A237V9GJCUKAMJ	Sports & Outdoors	5	They have a 99.9% rating out of like 4000 people.	32	5	8
158	B000F38SZ6	A237V9GJCUKAMJ	Sports & Outdoors	5	So do not buy this from here buy it from Ebay and WarpedSportsKc.	32	6	13
159	B000F38SZ6	A237V9GJCUKAMJ	Sports & Outdoors	5	Just look up their store on Ebay.	32	7	7
160	B000F38SZ6	A1PFEFOJBSH34	Sports & Outdoors	5	"This Barrel is 16"" and works great for long range accuracy."	33	1	10
161	B000F38SZ6	A1PFEFOJBSH34	Sports & Outdoors	5	The price is reasonable and the items that you receive are just fine.After a few uses you have to tighten the bolts back down because it starts to become loose and jiggle.	33	2	31
162	B000F38SZ6	A1PFEFOJBSH34	Sports & Outdoors	5	The site starts to move around and the components on the barrel need to be re-adjusted.	33	3	15
163	B000F38SZ6	A1PFEFOJBSH34	Sports & Outdoors	5	"Not to mention when I got my barrel in the mail, I put it on and it was perfect upside down...I would recommend this product to anyone who is trying to impress their friends, but when it comes to function it requires too much fix.I got tired of it and took all the parts off the gun and now simply have a 16"" barrel.When it comes down to it, thanks... but no thanks."	33	4	71
164	B000F38SZ6	A1D2Z8PPKLU3EU	Sports & Outdoors	5	Just is not a good barrel it breaks the balls, the sights are so far off that you can't fix them, it does look cool but I need function	34	1	29
165	B000FH1E0I	A11FBXKE81FYBA	Sports & Outdoors	11	Bought this scope along with UTG rings.	35	1	7
166	B000FH1E0I	A11FBXKE81FYBA	Sports & Outdoors	11	Installed on my AR 15 with no problem.	35	2	7
167	B000FH1E0I	A11FBXKE81FYBA	Sports & Outdoors	11	Great scope for a great price	35	3	6
