	asin	reviewer_id	category	freq	sentence	num_review	num_sentence	sen_length
0	B0000C9WI2	A1B37KSGD8XUJ8	Toys & Games	18	The goal works great.	1	1	4
1	B0000C9WI2	A1B37KSGD8XUJ8	Toys & Games	18	Make sure you have the correct batteries ( 6 AAA I think) but the overall goal works great.	1	2	16
2	B0000C9WI2	A1B37KSGD8XUJ8	Toys & Games	18	You need a pump to pump up the miniature ball it comes with.	1	3	13
3	B0000C9WI2	A1B37KSGD8XUJ8	Toys & Games	18	I bought a better ball to go with this, however, I'd recommend a full size ball for kids.	1	4	18
4	B0000C9WI2	A1B37KSGD8XUJ8	Toys & Games	18	Great buy overall; instructions were easy to follow.	1	5	8
5	B0000C9WI2	A2HW0KYT9ZCDCY	Toys & Games	18	This is really a great goal for younger ones!	2	1	9
6	B0000C9WI2	A2HW0KYT9ZCDCY	Toys & Games	18	I got this for my 4 year old's birthday and he LOVES it!	2	2	12
7	B0000C9WI2	A2HW0KYT9ZCDCY	Toys & Games	18	I read previous reviews and just let my son use our soccor ball, I didn't even blow up the little one that comes with it.	2	3	25
8	B0000C9WI2	A2HW0KYT9ZCDCY	Toys & Games	18	The price is a good price for the goal alone, so the ball was not important to me.	2	4	18
9	B0000C9WI2	A2HW0KYT9ZCDCY	Toys & Games	18	The only thing I don't care for is the sound maker on easy is so sensitive the wind can set it off.	2	5	22
10	B0000C9WI2	A2HW0KYT9ZCDCY	Toys & Games	18	But hey... small price for the fun my son has!	2	6	10
11	B0000C9WI2	A2HW0KYT9ZCDCY	Toys & Games	18	His 1 1/2 year old brother even joins in on the fun.	2	7	10
12	B0000C9WI2	A2HW0KYT9ZCDCY	Toys & Games	18	This was very easy to put together and seems to be holding up great.	2	8	14
13	B0000C9WI2	A2HW0KYT9ZCDCY	Toys & Games	18	I highly reccommend this to anyone with little ones who love to be outside!	2	9	14
14	B0000C9WI2	A2V1RA4EHYDZ4U	Toys & Games	18	The ball has not been inflated because we have not yet gotten a pump and needle to inflate.	3	1	18
15	B0000C9WI2	A2V1RA4EHYDZ4U	Toys & Games	18	It has rained so much the ground is saturated.	3	2	9
16	B0000C9WI2	A2V1RA4EHYDZ4U	Toys & Games	18	No opportunity to set it up.	3	3	6
17	B0000C9WI2	A2V1RA4EHYDZ4U	Toys & Games	18	His excitement when he received it was great.	3	4	8
18	B0000C9WI2	A2V1RA4EHYDZ4U	Toys & Games	18	Amazon has many items to choose from anytime a little thinking-of-you token or a gift is needed.	3	5	16
19	B0000C9WI2	A2K7PLMI4ZMS1P	Toys & Games	18	My daughter wanted a soccer goal for Christmas so I got this one.	4	1	13
20	B0000C9WI2	A2K7PLMI4ZMS1P	Toys & Games	18	It was a total pain to put together and it's just not very sturdy.	4	2	14
