	asin	reviewer_id	category	freq	sentence	num_review	num_sentence	sen_length
0	B00004WHW7	ADJKMC7AO7YN3	Video Games	21	Loopy Landscapes is the second expansion pack for the original Roller Coaster Tycoon.For the price, you get quite a few extra goodies.	1	1	21
1	B00004WHW7	ADJKMC7AO7YN3	Video Games	21	Loopy Landscapes includes 30 new scenarios, 3 `real' pre-built-parks, new themes, new coaster designs, new shops/stalls, music and coloring options, plus a few new rides.	1	2	21
2	B00004WHW7	ADJKMC7AO7YN3	Video Games	21	It should be said upfront that this expansion also includes RCT's 1st expansion: Corkscrew Follies, so you don't need to purchase it as a separate item.The scenarios, like the original and first expansion get progressively harder, and when you load it for the first time, only 5 of the scenarios are unlocked.	1	3	49
3	B00004WHW7	ADJKMC7AO7YN3	Video Games	21	You must complete a scenario here in order to unlock others.	1	4	11
4	B00004WHW7	ADJKMC7AO7YN3	Video Games	21	However, I think this is where Loopy Landscapes shines in game play: The new scenarios are much more dynamic, creative, and challenging than previous ones.	1	5	25
5	B00004WHW7	ADJKMC7AO7YN3	Video Games	21	Here, instead of the normal `Have 1,200 guests by the end of year 3', or `Have a Park Value of $XX,XXX' by the end of year 3', you'll find you have to create certain excitement levels on half built coasters, or create X coasters of Y type.	1	6	45
6	B00004WHW7	ADJKMC7AO7YN3	Video Games	21	My favorite so far is `Arid Heights' where you are free from any financial burdens....just a big sandbox mode in which to create a park that will attract 2000 guests.	1	7	30
7	B00004WHW7	ADJKMC7AO7YN3	Video Games	21	I like it because you are not restricted to time or money and can make a beautiful park.Also Loopy Landscapes groups the scenarios by tabs.	1	8	24
8	B00004WHW7	ADJKMC7AO7YN3	Video Games	21	There is one tab each for the original game, Corkscrew Follies, Loopy Landscapes, Extra's, and Real Parks.	1	9	17
9	B00004WHW7	ADJKMC7AO7YN3	Video Games	21	Very cool to be able to switch between these.	1	10	9
10	B00004WHW7	ADJKMC7AO7YN3	Video Games	21	Also the `Real Parks' are just plain beautiful to look at and watch.	1	11	13
11	B00004WHW7	ADJKMC7AO7YN3	Video Games	21	Sure you can change them, but I like to study them for tips and hints on what you can bring into one of the other scenarios you are working on.There are a few new coasters and a few new rides including `Jet Skis' and `Enterprise', but there are many new shops/stalls to choose from.	1	12	52
12	B00004WHW7	ADJKMC7AO7YN3	Video Games	21	The new coloring options have been expanded; you have more control over how a ride is now painted.	1	13	18
13	B00004WHW7	ADJKMC7AO7YN3	Video Games	21	There are many new tiles for roofing and ground cover, including snow, swamp, Martian, wood, etc.	1	14	16
14	B00004WHW7	ADJKMC7AO7YN3	Video Games	21	Also, there are new supports for different walkways and queue lines.	1	15	11
15	B00004WHW7	ADJKMC7AO7YN3	Video Games	21	The music scores for rides have been expanded as well; you must check out the `Oriental Style'....very beautiful.	1	16	19
16	B00004WHW7	ADJKMC7AO7YN3	Video Games	21	For a new expansion, I would have liked to see a few more new thrill rides.Lastly is the new themes themselves.	1	17	20
17	B00004WHW7	ADJKMC7AO7YN3	Video Games	21	There is now Arctic, Medieval, Spooky, Space, and more.	1	18	9
18	B00004WHW7	ADJKMC7AO7YN3	Video Games	21	This adds so much creativity, but the biggest let down is that some of the older themes could have been expanded, but were not.	1	19	24
19	B00004WHW7	ADJKMC7AO7YN3	Video Games	21	Like Old West should have had maybe a saloon, more cacti, horse tie-ups, mine cars, etc.	1	20	15
20	B00004WHW7	ADJKMC7AO7YN3	Video Games	21	Or Jurassic could have had more dinosaur's, Egyptian and Greek could have been expanded too.	1	21	15
21	B00004WHW7	ADJKMC7AO7YN3	Video Games	21	There are some themes that are begging to be created, like Pirates, or Super Hero's, or Mexican.	1	22	17
22	B00004WHW7	ADJKMC7AO7YN3	Video Games	21	However, the Oriental theme was done very nice.Overall, a worthy addition to RCT.	1	23	12
23	B00004WHW7	AWVQR7YYTYJ1L	Video Games	21	If you had the 1st RCT you'd love it but eventually the novelty wears off.	2	1	14
24	B00004WHW7	AWVQR7YYTYJ1L	Video Games	21	Well if you pick up this expansion which has 2 add-on packs you'd be thrilled.	2	2	13
25	B00004WHW7	AWVQR7YYTYJ1L	Video Games	21	However if you already have &quot;Corkscrew Follies&quot; you'd notice that their aren't that many new things added on.	2	3	20
26	B00004WHW7	AWVQR7YYTYJ1L	Video Games	21	Still the game is worth it for diehard RCT Fans.Some new things in terms of scenary.	2	4	15
27	B00004WHW7	AWVQR7YYTYJ1L	Video Games	21	LL really has a lot of new themeing types, which is always fun.	2	5	13
28	B00004WHW7	AWVQR7YYTYJ1L	Video Games	21	The CF features that carry over are new entertainers, music choices, painting colors and section painting.	2	6	16
29	B00004WHW7	AWVQR7YYTYJ1L	Video Games	21	If you are really into the whole themeing thing then this is truly the expansion pack for you.Rides: CF gives you a lot of new gentle rides, and a few thrill rides.	2	7	31
30	B00004WHW7	AWVQR7YYTYJ1L	Video Games	21	Around 10-12 new rollercoasters really add to the gameplay as they are all different, and fun.	2	8	15
31	B00004WHW7	AWVQR7YYTYJ1L	Video Games	21	One new thing you'll see alot of with LL is water rides.	2	9	12
32	B00004WHW7	AWVQR7YYTYJ1L	Video Games	21	Jet skis, water coasters, raft rides etc.	2	10	7
33	B00004WHW7	AWVQR7YYTYJ1L	Video Games	21	are all brand new which is a good change.	2	11	9
34	B00004WHW7	AWVQR7YYTYJ1L	Video Games	21	In terms of ride improvements you get a lot of new rollercoaster cart types which is cool.SHOPS: There are tooooons of new shops so if you wanna make more money this is an easy way.	2	12	35
35	B00004WHW7	AWVQR7YYTYJ1L	Video Games	21	There is everything from tee-shirt and hat stalls to fried chicken and coffee shops.BAD THINGS: Some major bummers: you can no longer charge admission to your park, which is wear [i think] a lot of the money comes from.	2	13	37
36	B00004WHW7	AWVQR7YYTYJ1L	Video Games	21	Also you can't research ride improvements which I guess is OK cuz you get the stuff you'd be researching then.SCENARIOS: The corkscrew follies scenarios are REALLLLY Hard.	2	14	26
37	B00004WHW7	AWVQR7YYTYJ1L	Video Games	21	At least I think so.	2	15	5
38	B00004WHW7	AWVQR7YYTYJ1L	Video Games	21	They have big goals and are all similar in that you have to have x number of people in your park by a certain time.	2	16	25
39	B00004WHW7	AWVQR7YYTYJ1L	Video Games	21	The Loopy Landscape scenarios are fun because they are different.	2	17	10
40	B00004WHW7	AWVQR7YYTYJ1L	Video Games	21	There is a huge empty park right in the beginning with unlimited money!	2	18	13
41	B00004WHW7	AWVQR7YYTYJ1L	Video Games	21	Some new ways to win include &quot;Finish building these 5 rollercoasters to have an excitement value of 6.7&quot; or &quot;earn $8000 a month with ride ticket sales.&quot;  These new ways to play are really great!So even if you already have CF this is a great expansion cuz you can get a rebate	2	19	53
42	B00004WHW7	A1Q4ZU2Y929N0A	Video Games	21	This expansion to Roller Coaster Tycoon (you must already have installed a copy of that game) includes the &quot;Corkscrew Follies&quot; expansion as well.	3	1	25
43	B00004WHW7	A1Q4ZU2Y929N0A	Video Games	21	There are many new challenging scenarios - including many coaster &quot;finishing&quot; parks.	3	2	13
44	B00004WHW7	A1Q4ZU2Y929N0A	Video Games	21	There are new park themes and themed ride entrances.	3	3	9
45	B00004WHW7	A1Q4ZU2Y929N0A	Video Games	21	There are whole new shops - including the long-awaited &quot;T-Shirt Shop&quot;.	3	4	10
46	B00004WHW7	A1Q4ZU2Y929N0A	Video Games	21	There are a few new rides - including the &quot;Enterprise&quot;.But the best feature of this expansion is the fact that the &quot;Corkscrew Follies&quot; expansion is also included for free!	3	5	32
47	B00004WHW7	A1Q4ZU2Y929N0A	Video Games	21	This is =another= 30 more scenarios, a bunch of new ride enhancements, and many customizing details.	3	6	14
48	B00004WHW7	A1Q4ZU2Y929N0A	Video Games	21	If you've always wondered what it would be like to own an amusement park, you will get many hours of fun out of this expansion.If you have Roller Coaster Tycoon, (and if you don't - go get one!)	3	7	36
49	B00004WHW7	A1Q4ZU2Y929N0A	Video Games	21	and you haven't got &quot;Corkscrew Follies&quot; then you'll love this great double sized addition to that game.	3	8	19
50	B00004WHW7	A2J27TTY9PWFLG	Video Games	21	Roller Coaster Tycoon: Loopy Landscapes is a great game, yet it lacks a few things.	4	1	15
51	B00004WHW7	A2J27TTY9PWFLG	Video Games	21	First, it hasn't added many new rides.	4	2	7
52	B00004WHW7	A2J27TTY9PWFLG	Video Games	21	Also, you can't charge admission to the park in the normal scenarios, which is where most of the income comes from.	4	3	21
53	B00004WHW7	A2J27TTY9PWFLG	Video Games	21	On the other hand, it does add tons of new shops and stalls, and it adds 30 new scenarios, most of them having unique goals, such as: &quot;Have a monthly ride income of at least $8,000.&quot; Hence the name, Loopy Landscapes has added six new exciting themes, like a Winter theme or a Creepy theme.	4	4	55
54	B00004WHW7	A2J27TTY9PWFLG	Video Games	21	Loopy Landscapes gives three actual parks that you can control.	4	5	10
55	B00004WHW7	A2J27TTY9PWFLG	Video Games	21	Alton Towers is one of them.	4	6	6
56	B00004WHW7	A2J27TTY9PWFLG	Video Games	21	Overall, I really like Loopy Landscapes, though it does lack a few things.	4	7	13
57	B00004WHW7	A2J27TTY9PWFLG	Video Games	21	I would recommend this game to anyone who has some Roller Coaster Tycoon experience.	4	8	14
