	review_id	asin	reviewer_id	category	num_sentence	sentence	tip	type	standalone	before/after	extend_position	sen_length
0	127	1881509818	AIXZKN4ACSKI	Sports & Outdoors	1	This came in on time and I am veru happy with it, I haved used it already and it makes taking out the pins in my glock 32 very easy	0.0					29
1	149	2094869245	AWG3H90WVZ0Z1	Sports & Outdoors	1	This light will no doubt capture the attention of night-time drivers.	0.0					10
2	149	2094869245	AWG3H90WVZ0Z1	Sports & Outdoors	2	It has three functions for the LED, blinking, strobe (kind of) and solid.	0.0					13
3	149	2094869245	AWG3H90WVZ0Z1	Sports & Outdoors	3	The lasers project well and can be set to flash or remain solid.	0.0					13
4	149	2094869245	AWG3H90WVZ0Z1	Sports & Outdoors	4	Awesome product.	0.0					2
5	149	2094869245	AWG3H90WVZ0Z1	Sports & Outdoors	5	Hopefully it holds up.	0.0					4
6	155	7245456259	A2NFEGCOY2TO1Q	Sports & Outdoors	1	So it worked well for a couple weeks, but during a lunge workout, it snapped on me.	0.0					17
7	155	7245456259	A2NFEGCOY2TO1Q	Sports & Outdoors	2	I liked it and thought it was a great product until this happened.	0.0					13
8	155	7245456259	A2NFEGCOY2TO1Q	Sports & Outdoors	3	I noticed small rips on the band.	0.0					7
9	155	7245456259	A2NFEGCOY2TO1Q	Sports & Outdoors	4	This could have been the issue.	0.0					6
10	168	B000002NUS	A18AHY846D1AOA	Sports & Outdoors	1	used it for a year or so and definitely have had to buy better equipment.	0.0					15
11	168	B000002NUS	A18AHY846D1AOA	Sports & Outdoors	2	the skinny cleaning rod- snapped.. the thicker cleaning rod- also snapped.	0.0					9
12	168	B000002NUS	A18AHY846D1AOA	Sports & Outdoors	3	im not one to apply heavy force on these, theyre just very soft/cheap.	0.0					12
13	168	B000002NUS	A18AHY846D1AOA	Sports & Outdoors	4	the brushes are decent enough.	0.0					5
14	168	B000002NUS	A18AHY846D1AOA	Sports & Outdoors	5	after spending cash on a nicer kit, i guess i learned my lesson.	0.0					13
