	review_id	asin	reviewer_id	category	num_sentence	sentence	tip	type	standalone	before/after	extend_position	sen_length
42	285	B0000222V1	A14JBDSWKPKTZA	Tools & Home Improvement	3	They work in the Dewalts, Makitas, or course the Porter Cables, as the description says, but they also work in the Fein Rt-1800, and with the Bosch routers as well with the adapter.	1.0	Other	yes	both		32
62	287	B0000222V9	A3GFEC3CFRS5NN	Tools & Home Improvement	5	"I added a strip of 3/4"" wide 6"" long aluminum bar stock to the edge to strengthen it up and provide a single linear surface for smoother operation on smaller stock."	1.0	Workaround	yes	after		29
105	293	B0000222X8	A10BC5NHJXLZL0	Tools & Home Improvement	5	The quick release is a big plus, just be sure the blade is seated properly and fully before proceeding.	1.0	Usage	yes	after		19
118	295	B0000222XC	A3MR51MDYU0KXJ	Tools & Home Improvement	7	I do recommend upgrading the sanding shoe and I wish porter cable offered that as a standard.	1.0	Complementary product	yes	both		17
130	296	B0000222XD	A14JBDSWKPKTZA	Tools & Home Improvement	9	Quiet-you do not have to wear ear protection to use this.	1.0	Usage	no	after		10
133	296	B0000222XD	A14JBDSWKPKTZA	Tools & Home Improvement	12	You dont have to push down on the unit, in order to get the job done.	1.0	Usage	yes	after		16
134	296	B0000222XD	A14JBDSWKPKTZA	Tools & Home Improvement	13	To those who mention that you have to keep an eye on the machine, because it can take away too much material too fast, that is because they are using a coarser grit than is required for the task.	1.0	Usage	no	after		39
153	297	B0000222XM	A3FRZ57D9TH2D3	Tools & Home Improvement	5	But then I realized that the rubber profile had a powder-like substance on them, a residue of the manufacturing process.	1.0	Maintenance	no	after		19
159	297	B0000222XM	A3FRZ57D9TH2D3	Tools & Home Improvement	11	Just make sure that they are fully seated in the holder clip that grips the profiles.	1.0	Usage	no	after		16
160	297	B0000222XM	A3FRZ57D9TH2D3	Tools & Home Improvement	12	Also, for additional sticking power on the adhesive-backed sandpaper, I recommend that you run the paper up the sides of the profile to almost the edge of the clip that holds the profile.	1.0	Usage	yes	after		32
162	297	B0000222XM	A3FRZ57D9TH2D3	Tools & Home Improvement	14	The smaller pieces will clog faster than the large pieces of sandpaper on, say a 6-inch random orbital sander.	1.0	Usage	yes	after		18
168	297	B0000222XM	A3FRZ57D9TH2D3	Tools & Home Improvement	20	A new, properly cut piece applied and no more black streaks.	1.0	Warning	no	after		11
197	302	B0000222YP	A25ULOJZHL8K1E	Tools & Home Improvement	2	Many idiots have my sander and it has taken a few falls, but still works with no unusual noises  and i like the hook and loop, but if you dont you can simply un  screw the pad and put on an adhesive backed pad.	1.0	Workaround	yes	after		44
211	304	B0000222Z4	A1U2XQJF9QQ7JS	Tools & Home Improvement	1	Ergonomics are not at good at the 309 (that gave up the ghost after close to 30 years), the cord and switch are oddly placed, to it always feels a little irritating to use and set up.	1.0	Warning	yes	before		35
240	307	B0000222ZC	A1J0GL9HCA7ELW	Tools & Home Improvement	8	If you are doing alot of boxes and frames, I think you will like these biscuits.	1.0	Usage	yes	both		16
